league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_4_years_future,Rk_4_years_future,W_4_years_future,D_4_years_future,L_4_years_future,GF_4_years_future,GA_4_years_future,GD_4_years_future,Pts/MP_4_years_future,PF_next_5_years
Ligue 1,Olympique Lyon,2011,4,19,7,12,64,51,13,1.68,0,0,3,19,10,9,61,38,23,1.76,0,5,17,10,11,56,44,12,1.61,0,2,22,9,7,72,33,39,1.97,0,2,19,8,11,67,43,24,1.71,0
Ligue 1,Paris Saint-Germain,2011,2,23,10,5,75,41,34,2.08,0,0,1,25,8,5,69,23,46,2.18,0,1,27,8,3,84,23,61,2.34,0,1,24,11,3,83,36,47,2.18,0,1,30,6,2,102,19,83,2.53,0
Ligue 1,Stade Rennais FC,2011,6,17,9,12,53,44,9,1.58,0,1,13,13,7,18,48,59,-11,1.21,1,12,11,13,14,47,45,2,1.21,1,9,13,11,14,35,42,-7,1.32,1,8,13,13,12,52,54,-2,1.37,1
Ligue 1,AS Saint-Étienne,2011,7,16,9,13,49,45,4,1.5,1,0,5,16,15,7,60,32,28,1.66,0,4,20,9,9,56,34,22,1.82,0,5,19,12,7,51,30,21,1.82,0,6,17,7,14,42,37,5,1.53,1
Ligue 1,FC Toulouse,2011,8,15,11,12,37,34,3,1.47,1,1,10,13,12,13,49,47,2,1.34,1,9,12,13,13,46,53,-7,1.29,2,17,12,6,20,43,64,-21,1.11,2,17,9,13,16,45,55,-10,1.05,1
Ligue 1,Olympique Marseille,2011,10,12,12,14,45,41,4,1.26,1,0,2,21,8,9,42,36,6,1.87,0,6,16,12,10,53,40,13,1.58,0,4,21,6,11,76,42,34,1.82,1,13,10,18,10,48,42,6,1.26,0
Ligue 1,FC Lorient,2011,17,9,12,17,35,49,-14,1.03,2,1,8,14,11,13,57,58,-1,1.39,1,8,13,10,15,48,53,-5,1.29,2,16,12,7,19,44,50,-6,1.13,2,15,11,13,14,47,58,-11,1.21,2
Ligue 1,AS Saint-Étienne,2012,5,16,15,7,60,32,28,1.66,0,0,4,20,9,9,56,34,22,1.82,0,5,19,12,7,51,30,21,1.82,0,6,17,7,14,42,37,5,1.53,1,8,12,14,12,41,42,-1,1.32,1
Ligue 1,LOSC Lille,2012,6,16,14,8,59,40,19,1.63,0,0,3,20,11,7,46,26,20,1.87,1,8,16,8,14,43,42,1,1.47,0,5,15,15,8,39,27,12,1.58,1,11,13,7,18,40,47,-7,1.21,2
Ligue 1,Olympique Lyon,2012,3,19,10,9,61,38,23,1.76,0,0,5,17,10,11,56,44,12,1.61,0,2,22,9,7,72,33,39,1.97,0,2,19,8,11,67,43,24,1.71,0,4,21,4,13,77,48,29,1.76,0
Ligue 1,Olympique Marseille,2012,2,21,8,9,42,36,6,1.87,0,0,6,16,12,10,53,40,13,1.58,0,4,21,6,11,76,42,34,1.82,1,13,10,18,10,48,42,6,1.26,0,5,17,11,10,57,41,16,1.63,0
Ligue 1,Paris Saint-Germain,2012,1,25,8,5,69,23,46,2.18,0,0,1,27,8,3,84,23,61,2.34,0,1,24,11,3,83,36,47,2.18,0,1,30,6,2,102,19,83,2.53,0,2,27,6,5,83,27,56,2.29,0
