league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_next_1_years
Primera Division,Granada CF,2012,15,11,9,18,37,54,-17,1.11,2,2
Primera Division,Athletic Bilbao,2013,4,20,10,8,66,39,27,1.84,0,1
Primera Division,FC Barcelona,2013,2,27,6,5,100,33,67,2.29,0,0
Primera Division,Real Madrid,2013,3,27,6,5,104,38,66,2.29,0,0
Primera Division,Sevilla FC,2013,5,18,9,11,69,52,17,1.66,0,0
Primera Division,Villarreal CF,2013,6,17,8,13,60,44,16,1.55,0,0
Primera Division,Getafe CF,2013,13,11,9,18,35,54,-19,1.11,1,2
Primera Division,Levante UD,2013,10,12,12,14,35,43,-8,1.26,1,1
Primera Division,Málaga CF,2013,11,12,9,17,39,46,-7,1.18,1,1
Primera Division,RCD Espanyol Barcelona,2013,14,11,9,18,41,51,-10,1.11,1,1
Primera Division,Rayo Vallecano,2013,12,13,4,21,46,80,-34,1.13,1,1
Primera Division,Real Sociedad,2013,7,16,11,11,62,55,7,1.55,1,1
Primera Division,Valencia CF,2013,8,13,10,15,51,53,-2,1.29,1,0
Primera Division,Elche CF,2013,16,9,13,16,30,50,-20,1.05,2,1
Primera Division,Granada CF,2013,15,12,5,21,32,56,-24,1.08,2,2
Primera Division,UD Almería,2013,17,11,7,20,43,71,-28,1.05,2,2
Primera Division,FC Barcelona,2014,1,30,4,4,110,21,89,2.47,0,0
Primera Division,Real Madrid,2014,2,30,2,6,118,38,80,2.42,0,0
Primera Division,Sevilla FC,2014,5,23,7,8,71,45,26,2.0,0,1
Primera Division,Valencia CF,2014,4,22,11,5,70,32,38,2.03,0,1
Primera Division,Villarreal CF,2014,6,16,12,10,48,37,11,1.58,0,0
Primera Division,Athletic Bilbao,2014,7,15,10,13,42,41,1,1.45,1,0
Primera Division,Levante UD,2014,14,9,10,19,34,67,-33,0.97,1,2
Primera Division,Málaga CF,2014,9,14,8,16,42,48,-6,1.32,1,1
Primera Division,RCD Espanyol Barcelona,2014,10,13,10,15,47,51,-4,1.29,1,1
Primera Division,Rayo Vallecano,2014,11,15,4,19,46,68,-22,1.29,1,2
Primera Division,Real Sociedad,2014,12,11,13,14,44,51,-7,1.21,1,1
Primera Division,Deportivo de La Coruña,2014,16,7,14,17,35,60,-25,0.92,2,2
Primera Division,Getafe CF,2014,15,10,7,21,33,64,-31,0.97,2,2
Primera Division,Granada CF,2014,17,7,14,17,29,64,-35,0.92,2,2
Primera Division,SD Eibar,2014,18,9,8,21,34,55,-21,0.92,2,1
Primera Division,FC Barcelona,2015,1,29,4,5,112,29,83,2.39,0,0
Primera Division,Real Madrid,2015,2,28,6,4,110,34,76,2.37,0,0
Primera Division,Villarreal CF,2015,4,18,10,10,44,35,9,1.68,0,0
Primera Division,Málaga CF,2015,8,12,12,14,38,35,3,1.26,1,1
Primera Division,RCD Espanyol Barcelona,2015,13,12,7,19,40,74,-34,1.13,1,1
Primera Division,Real Betis Balompié,2015,10,11,12,15,34,52,-18,1.18,1,2
Primera Division,Real Sociedad,2015,9,13,9,16,45,48,-3,1.26,1,0
Primera Division,SD Eibar,2015,14,11,10,17,49,61,-12,1.13,1,1
Primera Division,Sevilla FC,2015,7,14,10,14,51,50,1,1.37,1,0
Primera Division,UD Las Palmas,2015,11,12,8,18,45,53,-8,1.16,1,1
Primera Division,Valencia CF,2015,12,11,11,16,46,48,-2,1.16,1,1
Primera Division,Deportivo de La Coruña,2015,15,8,18,12,45,61,-16,1.11,2,2
Primera Division,Granada CF,2015,16,10,9,19,46,69,-23,1.03,2,2
Primera Division,FC Barcelona,2016,2,28,6,4,116,37,79,2.37,0,0
Primera Division,Real Madrid,2016,1,29,6,3,106,41,65,2.45,0,0
Primera Division,Real Sociedad,2016,6,19,7,12,59,53,6,1.68,0,1
Primera Division,Sevilla FC,2016,4,21,9,8,69,49,20,1.89,0,1
Primera Division,Villarreal CF,2016,5,19,10,9,56,33,23,1.76,0,0
Primera Division,Deportivo Alavés,2016,9,14,13,11,41,43,-2,1.45,1,1
Primera Division,Málaga CF,2016,11,12,10,16,49,55,-6,1.21,1,2
Primera Division,RCD Espanyol Barcelona,2016,8,15,11,12,49,50,-1,1.47,1,1
Primera Division,SD Eibar,2016,10,15,9,14,56,51,5,1.42,1,1
Primera Division,UD Las Palmas,2016,14,10,9,19,53,74,-21,1.03,1,2
Primera Division,Valencia CF,2016,12,13,7,18,56,65,-9,1.21,1,0
Primera Division,CD Leganés,2016,17,8,11,19,36,55,-19,0.92,2,2
Primera Division,Deportivo de La Coruña,2016,16,8,12,18,43,61,-18,0.95,2,2
Primera Division,Real Betis Balompié,2016,15,10,9,19,41,64,-23,1.03,2,0
Primera Division,FC Barcelona,2017,1,28,9,1,99,29,70,2.45,0,0
Primera Division,Real Betis Balompié,2017,6,18,6,14,60,61,-1,1.58,0,1
Primera Division,Real Madrid,2017,3,22,10,6,94,44,50,2.0,0,0
Primera Division,Valencia CF,2017,4,22,7,9,65,38,27,1.92,0,0
Primera Division,Villarreal CF,2017,5,18,7,13,57,50,7,1.61,0,1
Primera Division,Deportivo Alavés,2017,14,15,2,21,40,50,-10,1.24,1,1
Primera Division,Getafe CF,2017,8,15,10,13,42,33,9,1.45,1,0
Primera Division,Girona FC,2017,10,14,9,15,50,59,-9,1.34,1,2
Primera Division,RCD Espanyol Barcelona,2017,11,12,13,13,36,42,-6,1.29,1,1
Primera Division,Real Sociedad,2017,12,14,7,17,66,59,7,1.29,1,1
Primera Division,SD Eibar,2017,9,14,9,15,44,50,-6,1.34,1,1
Primera Division,Sevilla FC,2017,7,17,7,14,49,58,-9,1.53,1,0
Primera Division,Athletic Bilbao,2017,16,10,13,15,41,49,-8,1.13,2,1
Primera Division,CD Leganés,2017,17,12,7,19,34,51,-17,1.13,2,1
Primera Division,Levante UD,2017,15,11,13,14,44,58,-14,1.21,2,2
Primera Division,FC Barcelona,2018,1,26,9,3,90,36,54,2.29,0,0
Primera Division,Getafe CF,2018,5,15,14,9,48,35,13,1.55,0,1
Primera Division,Real Madrid,2018,3,21,5,12,63,46,17,1.79,0,0
Primera Division,Sevilla FC,2018,6,17,8,13,62,47,15,1.55,0,0
Primera Division,Valencia CF,2018,4,15,16,7,51,35,16,1.61,0,1
Primera Division,CD Leganés,2018,13,11,12,15,37,43,-6,1.18,1,2
Primera Division,Deportivo Alavés,2018,11,13,11,14,39,50,-11,1.32,1,2
Primera Division,RCD Espanyol Barcelona,2018,7,14,11,13,48,50,-2,1.39,1,2
Primera Division,Real Betis Balompié,2018,10,14,8,16,44,52,-8,1.32,1,2
Primera Division,Real Sociedad,2018,9,13,11,14,45,46,-1,1.32,1,0
Primera Division,SD Eibar,2018,12,11,14,13,46,50,-4,1.24,1,1
Primera Division,Villarreal CF,2018,14,10,14,14,49,52,-3,1.16,1,0
Primera Division,Levante UD,2018,15,11,11,16,59,66,-7,1.16,2,1
Primera Division,Real Valladolid CF,2018,16,10,11,17,32,51,-19,1.08,2,1
