league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Ligue 1,Stade Rennais FC,2014,9,13,11,14,35,42,-7,1.32,1,1.0,8.0,13.0,13.0,12.0,52.0,54.0,-2.0,1.37,1.0,9.0,12.0,14.0,12.0,36.0,42.0,-6.0,1.32,0.0
Ligue 1,LOSC Lille,2014,8,16,8,14,43,42,1,1.47,1,0.0,5.0,15.0,15.0,8.0,39.0,27.0,12.0,1.58,1.0,11.0,13.0,7.0,18.0,40.0,47.0,-7.0,1.21,2.0
Ligue 1,FC Évian Thonon Gaillard,2014,18,11,4,23,41,62,-21,0.97,2,2.0,18.0,11.0,4.0,23.0,41.0,62.0,-21.0,0.97,2.0,18.0,11.0,4.0,23.0,41.0,62.0,-21.0,0.97,2.0
Ligue 1,RC Lens,2014,20,7,8,23,32,61,-29,0.76,2,2.0,20.0,7.0,8.0,23.0,32.0,61.0,-29.0,0.76,2.0,20.0,7.0,8.0,23.0,32.0,61.0,-29.0,0.76,2.0
Ligue 1,FC Lorient,2014,16,12,7,19,44,50,-6,1.13,2,2.0,15.0,11.0,13.0,14.0,47.0,58.0,-11.0,1.21,2.0,18.0,10.0,6.0,22.0,44.0,70.0,-26.0,0.95,2.0
Ligue 1,FC Metz,2014,19,7,9,22,31,61,-30,0.79,2,2.0,19.0,7.0,9.0,22.0,31.0,61.0,-30.0,0.79,1.0,14.0,11.0,10.0,17.0,39.0,72.0,-33.0,1.13,2.0
Ligue 1,Stade Reims,2014,15,12,8,18,47,66,-19,1.16,2,2.0,18.0,10.0,9.0,19.0,44.0,57.0,-13.0,1.03,2.0,15.0,12.0,8.0,18.0,47.0,66.0,-19.0,1.16,2.0
Ligue 1,FC Toulouse,2014,17,12,6,20,43,64,-21,1.11,2,2.0,17.0,9.0,13.0,16.0,45.0,55.0,-10.0,1.05,1.0,13.0,10.0,14.0,14.0,37.0,41.0,-4.0,1.16,2.0
Ligue 1,Paris Saint-Germain,2015,1,30,6,2,102,19,83,2.53,0,0.0,2.0,27.0,6.0,5.0,83.0,27.0,56.0,2.29,0.0,1.0,29.0,6.0,3.0,108.0,29.0,79.0,2.45,0.0
Ligue 1,Olympique Lyon,2015,2,19,8,11,67,43,24,1.71,0,0.0,4.0,21.0,4.0,13.0,77.0,48.0,29.0,1.76,0.0,3.0,23.0,9.0,6.0,87.0,43.0,44.0,2.05,0.0
Ligue 1,AS Monaco,2015,3,17,14,7,57,50,7,1.71,0,0.0,1.0,30.0,5.0,3.0,107.0,31.0,76.0,2.5,0.0,2.0,24.0,8.0,6.0,85.0,45.0,40.0,2.11,2.0
Ligue 1,AS Saint-Étienne,2015,6,17,7,14,42,37,5,1.53,0,1.0,8.0,12.0,14.0,12.0,41.0,42.0,-1.0,1.32,1.0,7.0,15.0,10.0,13.0,47.0,50.0,-3.0,1.45,0.0
Ligue 1,LOSC Lille,2015,5,15,15,8,39,27,12,1.58,0,1.0,11.0,13.0,7.0,18.0,40.0,47.0,-7.0,1.21,2.0,17.0,10.0,8.0,20.0,41.0,67.0,-26.0,1.0,0.0
Ligue 1,OGC Nice,2015,4,18,9,11,58,41,17,1.66,0,0.0,3.0,22.0,12.0,4.0,63.0,36.0,27.0,2.05,1.0,8.0,15.0,9.0,14.0,53.0,52.0,1.0,1.42,1.0
Ligue 1,Olympique Marseille,2015,13,10,18,10,48,42,6,1.26,1,0.0,5.0,17.0,11.0,10.0,57.0,41.0,16.0,1.63,0.0,4.0,22.0,11.0,5.0,80.0,47.0,33.0,2.03,0.0
Ligue 1,FC Girondins Bordeaux,2015,11,12,14,12,50,57,-7,1.32,1,0.0,6.0,15.0,14.0,9.0,53.0,43.0,10.0,1.55,0.0,6.0,16.0,7.0,15.0,53.0,48.0,5.0,1.45,1.0
Ligue 1,Montpellier HSC,2015,12,14,7,17,49,47,2,1.29,1,2.0,15.0,10.0,9.0,19.0,48.0,66.0,-18.0,1.03,1.0,10.0,11.0,18.0,9.0,36.0,33.0,3.0,1.34,0.0
Ligue 1,Stade Rennais FC,2015,8,13,13,12,52,54,-2,1.37,1,1.0,9.0,12.0,14.0,12.0,36.0,42.0,-6.0,1.32,0.0,5.0,16.0,10.0,12.0,50.0,44.0,6.0,1.53,1.0
Ligue 1,SC Bastia,2015,10,14,8,16,36,42,-6,1.32,1,2.0,20.0,8.0,10.0,20.0,29.0,54.0,-25.0,0.89,1.0,10.0,14.0,8.0,16.0,36.0,42.0,-6.0,1.32,1.0
Ligue 1,SM Caen,2015,7,16,6,16,39,52,-13,1.42,1,2.0,17.0,10.0,7.0,21.0,36.0,65.0,-29.0,0.97,2.0,16.0,10.0,8.0,20.0,27.0,52.0,-25.0,1.0,2.0
Ligue 1,FC Nantes,2015,14,12,12,14,33,44,-11,1.26,1,1.0,7.0,14.0,9.0,15.0,40.0,54.0,-14.0,1.34,1.0,9.0,14.0,10.0,14.0,36.0,41.0,-5.0,1.37,1.0
Ligue 1,Angers SCO,2015,9,13,11,14,40,38,2,1.32,1,1.0,12.0,13.0,7.0,18.0,40.0,49.0,-9.0,1.21,1.0,14.0,9.0,14.0,15.0,42.0,52.0,-10.0,1.08,1.0
Ligue 1,EA Guingamp,2015,16,11,11,16,47,56,-9,1.16,2,1.0,10.0,14.0,8.0,16.0,46.0,53.0,-7.0,1.32,1.0,12.0,12.0,11.0,15.0,48.0,59.0,-11.0,1.24,2.0
Ligue 1,Stade Reims,2015,18,10,9,19,44,57,-13,1.03,2,2.0,18.0,10.0,9.0,19.0,44.0,57.0,-13.0,1.03,2.0,18.0,10.0,9.0,19.0,44.0,57.0,-13.0,1.03,1.0
Ligue 1,FC Lorient,2015,15,11,13,14,47,58,-11,1.21,2,2.0,18.0,10.0,6.0,22.0,44.0,70.0,-26.0,0.95,2.0,15.0,11.0,13.0,14.0,47.0,58.0,-11.0,1.21,2.0
Ligue 1,FC Toulouse,2015,17,9,13,16,45,55,-10,1.05,2,1.0,13.0,10.0,14.0,14.0,37.0,41.0,-4.0,1.16,2.0,18.0,9.0,10.0,19.0,38.0,54.0,-16.0,0.97,2.0
Ligue 1,ESTAC Troyes,2015,20,3,9,26,28,83,-55,0.47,2,2.0,20.0,3.0,9.0,26.0,28.0,83.0,-55.0,0.47,2.0,19.0,9.0,6.0,23.0,32.0,59.0,-27.0,0.87,2.0
Ligue 1,GFC Ajaccio,2015,19,8,13,17,37,58,-21,0.97,2,2.0,19.0,8.0,13.0,17.0,37.0,58.0,-21.0,0.97,2.0,19.0,8.0,13.0,17.0,37.0,58.0,-21.0,0.97,2.0
Ligue 1,Paris Saint-Germain,2016,2,27,6,5,83,27,56,2.29,0,0.0,1.0,29.0,6.0,3.0,108.0,29.0,79.0,2.45,0.0,1.0,29.0,4.0,5.0,105.0,35.0,70.0,2.39,0.0
Ligue 1,Olympique Lyon,2016,4,21,4,13,77,48,29,1.76,0,0.0,3.0,23.0,9.0,6.0,87.0,43.0,44.0,2.05,0.0,3.0,21.0,9.0,8.0,70.0,47.0,23.0,1.89,1.0
Ligue 1,AS Monaco,2016,1,30,5,3,107,31,76,2.5,0,0.0,2.0,24.0,8.0,6.0,85.0,45.0,40.0,2.11,2.0,17.0,8.0,12.0,18.0,38.0,57.0,-19.0,0.95,1.0
Ligue 1,OGC Nice,2016,3,22,12,4,63,36,27,2.05,0,1.0,8.0,15.0,9.0,14.0,53.0,52.0,1.0,1.42,1.0,7.0,15.0,11.0,12.0,30.0,35.0,-5.0,1.47,0.0
Ligue 1,FC Girondins Bordeaux,2016,6,15,14,9,53,43,10,1.55,0,0.0,6.0,16.0,7.0,15.0,53.0,48.0,5.0,1.45,1.0,14.0,10.0,11.0,17.0,34.0,42.0,-8.0,1.08,1.0
Ligue 1,Olympique Marseille,2016,5,17,11,10,57,41,16,1.63,0,0.0,4.0,22.0,11.0,5.0,80.0,47.0,33.0,2.03,0.0,5.0,18.0,7.0,13.0,60.0,52.0,8.0,1.61,0.0
Ligue 1,LOSC Lille,2016,11,13,7,18,40,47,-7,1.21,1,2.0,17.0,10.0,8.0,20.0,41.0,67.0,-26.0,1.0,0.0,2.0,22.0,9.0,7.0,68.0,33.0,35.0,1.97,0.0
Ligue 1,AS Saint-Étienne,2016,8,12,14,12,41,42,-1,1.32,1,1.0,7.0,15.0,10.0,13.0,47.0,50.0,-3.0,1.45,0.0,4.0,19.0,9.0,10.0,59.0,41.0,18.0,1.74,2.0
Ligue 1,Stade Rennais FC,2016,9,12,14,12,36,42,-6,1.32,1,0.0,5.0,16.0,10.0,12.0,50.0,44.0,6.0,1.53,1.0,10.0,13.0,13.0,12.0,55.0,52.0,3.0,1.37,0.0
Ligue 1,Angers SCO,2016,12,13,7,18,40,49,-9,1.21,1,1.0,14.0,9.0,14.0,15.0,42.0,52.0,-10.0,1.08,1.0,13.0,10.0,16.0,12.0,44.0,49.0,-5.0,1.21,1.0
Ligue 1,FC Nantes,2016,7,14,9,15,40,54,-14,1.34,1,1.0,9.0,14.0,10.0,14.0,36.0,41.0,-5.0,1.37,1.0,12.0,13.0,9.0,16.0,48.0,48.0,0.0,1.26,1.0
Ligue 1,EA Guingamp,2016,10,14,8,16,46,53,-7,1.32,1,1.0,12.0,12.0,11.0,15.0,48.0,59.0,-11.0,1.24,2.0,20.0,5.0,12.0,21.0,28.0,68.0,-40.0,0.71,1.0
Ligue 1,FC Toulouse,2016,13,10,14,14,37,41,-4,1.16,1,2.0,18.0,9.0,10.0,19.0,38.0,54.0,-16.0,0.97,2.0,16.0,8.0,14.0,16.0,35.0,57.0,-22.0,1.0,2.0
Ligue 1,FC Metz,2016,14,11,10,17,39,72,-33,1.13,1,2.0,20.0,6.0,8.0,24.0,34.0,76.0,-42.0,0.68,1.0,14.0,11.0,10.0,17.0,39.0,72.0,-33.0,1.13,2.0
Ligue 1,SM Caen,2016,17,10,7,21,36,65,-29,0.97,2,2.0,16.0,10.0,8.0,20.0,27.0,52.0,-25.0,1.0,2.0,19.0,7.0,12.0,19.0,29.0,54.0,-25.0,0.87,2.0
Ligue 1,SC Bastia,2016,20,8,10,20,29,54,-25,0.89,2,2.0,20.0,8.0,10.0,20.0,29.0,54.0,-25.0,0.89,2.0,20.0,8.0,10.0,20.0,29.0,54.0,-25.0,0.89,2.0
Ligue 1,Montpellier HSC,2016,15,10,9,19,48,66,-18,1.03,2,1.0,10.0,11.0,18.0,9.0,36.0,33.0,3.0,1.34,0.0,6.0,15.0,14.0,9.0,53.0,42.0,11.0,1.55,1.0
Ligue 1,FC Lorient,2016,18,10,6,22,44,70,-26,0.95,2,2.0,18.0,10.0,6.0,22.0,44.0,70.0,-26.0,0.95,2.0,18.0,10.0,6.0,22.0,44.0,70.0,-26.0,0.95,2.0
Ligue 1,AS Nancy-Lorraine,2016,19,9,8,21,29,52,-23,0.92,2,2.0,19.0,9.0,8.0,21.0,29.0,52.0,-23.0,0.92,2.0,19.0,9.0,8.0,21.0,29.0,52.0,-23.0,0.92,2.0
Ligue 1,Dijon FCO,2016,16,8,13,17,46,58,-12,0.97,2,1.0,11.0,13.0,9.0,16.0,55.0,73.0,-18.0,1.26,2.0,18.0,9.0,7.0,22.0,31.0,60.0,-29.0,0.89,2.0
