league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Primera Division,UD Almería,2010,20,6,12,20,36,70,-34,0.79,2,2,20,6,12,20,36,70,-34,0.79,2,20,6,12,20,36,70,-34,0.79,2
Primera Division,FC Barcelona,2011,2,28,7,3,114,29,85,2.39,0,0,1,32,4,2,115,40,75,2.63,0,2,27,6,5,100,33,67,2.29,0
Primera Division,Levante UD,2011,6,16,7,15,54,50,4,1.45,0,1,11,12,10,16,40,57,-17,1.21,1,10,12,12,14,35,43,-8,1.26,1
Primera Division,Málaga CF,2011,4,17,7,14,54,53,1,1.53,0,0,6,16,9,13,53,50,3,1.5,1,11,12,9,17,39,46,-7,1.18,1
Primera Division,Real Madrid,2011,1,32,4,2,121,32,89,2.63,0,0,2,26,7,5,103,42,61,2.24,0,3,27,6,5,104,38,66,2.29,0
Primera Division,Valencia CF,2011,3,17,10,11,59,44,15,1.61,0,0,5,19,8,11,67,54,13,1.71,1,8,13,10,15,51,53,-2,1.29,0
Primera Division,Athletic Bilbao,2011,10,12,13,13,49,52,-3,1.29,1,1,12,12,9,17,44,65,-21,1.18,0,4,20,10,8,66,39,27,1.84,1
Primera Division,CA Osasuna,2011,7,13,15,10,44,61,-17,1.42,1,2,16,10,9,19,33,50,-17,1.03,2,18,10,9,19,32,62,-30,1.03,2
Primera Division,Getafe CF,2011,11,12,11,15,40,51,-11,1.24,1,1,10,13,8,17,43,57,-14,1.24,1,13,11,9,18,35,54,-19,1.11,1
Primera Division,RCD Espanyol Barcelona,2011,14,12,10,16,46,56,-10,1.21,1,1,13,11,11,16,43,52,-9,1.16,1,14,11,9,18,41,51,-10,1.11,1
Primera Division,RCD Mallorca,2011,8,14,10,14,42,46,-4,1.37,1,2,18,9,9,20,43,72,-29,0.95,2,18,9,9,20,43,72,-29,0.95,2
Primera Division,Real Betis Balompié,2011,13,13,8,17,47,56,-9,1.24,1,1,7,16,8,14,57,56,1,1.47,2,20,6,7,25,36,78,-42,0.66,2
Primera Division,Real Sociedad,2011,12,12,11,15,46,52,-6,1.24,1,0,4,18,12,8,70,49,21,1.74,1,7,16,11,11,62,55,7,1.55,1
Primera Division,Sevilla FC,2011,9,13,11,14,48,47,1,1.32,1,1,9,14,8,16,58,54,4,1.32,0,5,18,9,11,69,52,17,1.66,0
Primera Division,Granada CF,2011,17,12,6,20,35,56,-21,1.11,2,2,15,11,9,18,37,54,-17,1.11,2,15,12,5,21,32,56,-24,1.08,2
Primera Division,Racing Santander,2011,20,4,15,19,28,63,-35,0.71,2,2,20,4,15,19,28,63,-35,0.71,2,20,4,15,19,28,63,-35,0.71,2
Primera Division,Rayo Vallecano,2011,15,13,4,21,53,73,-20,1.13,2,1,8,16,5,17,50,66,-16,1.39,1,12,13,4,21,46,80,-34,1.13,1
Primera Division,Real Zaragoza,2011,16,12,7,19,36,61,-25,1.13,2,2,20,9,7,22,37,62,-25,0.89,2,20,9,7,22,37,62,-25,0.89,2
Primera Division,Sporting Gijón,2011,19,10,7,21,42,69,-27,0.97,2,2,19,10,7,21,42,69,-27,0.97,2,19,10,7,21,42,69,-27,0.97,2
Primera Division,Villarreal CF,2011,18,9,14,15,39,53,-14,1.08,2,2,18,9,14,15,39,53,-14,1.08,0,6,17,8,13,60,44,16,1.55,0
Primera Division,FC Barcelona,2012,1,32,4,2,115,40,75,2.63,0,0,2,27,6,5,100,33,67,2.29,0,1,30,4,4,110,21,89,2.47,0
Primera Division,Málaga CF,2012,6,16,9,13,53,50,3,1.5,0,1,11,12,9,17,39,46,-7,1.18,1,9,14,8,16,42,48,-6,1.32,1
Primera Division,Real Madrid,2012,2,26,7,5,103,42,61,2.24,0,0,3,27,6,5,104,38,66,2.29,0,2,30,2,6,118,38,80,2.42,0
Primera Division,Real Sociedad,2012,4,18,12,8,70,49,21,1.74,0,1,7,16,11,11,62,55,7,1.55,1,12,11,13,14,44,51,-7,1.21,1
Primera Division,Valencia CF,2012,5,19,8,11,67,54,13,1.71,0,1,8,13,10,15,51,53,-2,1.29,0,4,22,11,5,70,32,38,2.03,1
Primera Division,Athletic Bilbao,2012,12,12,9,17,44,65,-21,1.18,1,0,4,20,10,8,66,39,27,1.84,1,7,15,10,13,42,41,1,1.45,0
Primera Division,Getafe CF,2012,10,13,8,17,43,57,-14,1.24,1,1,13,11,9,18,35,54,-19,1.11,2,15,10,7,21,33,64,-31,0.97,2
Primera Division,Levante UD,2012,11,12,10,16,40,57,-17,1.21,1,1,10,12,12,14,35,43,-8,1.26,1,14,9,10,19,34,67,-33,0.97,1
Primera Division,RCD Espanyol Barcelona,2012,13,11,11,16,43,52,-9,1.16,1,1,14,11,9,18,41,51,-10,1.11,1,10,13,10,15,47,51,-4,1.29,1
Primera Division,Rayo Vallecano,2012,8,16,5,17,50,66,-16,1.39,1,1,12,13,4,21,46,80,-34,1.13,1,11,15,4,19,46,68,-22,1.29,1
Primera Division,Real Betis Balompié,2012,7,16,8,14,57,56,1,1.47,1,2,20,6,7,25,36,78,-42,0.66,2,20,6,7,25,36,78,-42,0.66,1
Primera Division,Sevilla FC,2012,9,14,8,16,58,54,4,1.32,1,0,5,18,9,11,69,52,17,1.66,0,5,23,7,8,71,45,26,2.0,1
Primera Division,CA Osasuna,2012,16,10,9,19,33,50,-17,1.03,2,2,18,10,9,19,32,62,-30,1.03,2,18,10,9,19,32,62,-30,1.03,2
Primera Division,Deportivo de La Coruña,2012,19,8,11,19,47,70,-23,0.92,2,2,19,8,11,19,47,70,-23,0.92,2,16,7,14,17,35,60,-25,0.92,2
Primera Division,Granada CF,2012,15,11,9,18,37,54,-17,1.11,2,2,15,12,5,21,32,56,-24,1.08,2,17,7,14,17,29,64,-35,0.92,2
Primera Division,RCD Mallorca,2012,18,9,9,20,43,72,-29,0.95,2,2,18,9,9,20,43,72,-29,0.95,2,18,9,9,20,43,72,-29,0.95,2
Primera Division,Real Zaragoza,2012,20,9,7,22,37,62,-25,0.89,2,2,20,9,7,22,37,62,-25,0.89,2,20,9,7,22,37,62,-25,0.89,2
Primera Division,Athletic Bilbao,2013,4,20,10,8,66,39,27,1.84,0,1,7,15,10,13,42,41,1,1.45,0,5,18,8,12,58,45,13,1.63,0
Primera Division,FC Barcelona,2013,2,27,6,5,100,33,67,2.29,0,0,1,30,4,4,110,21,89,2.47,0,1,29,4,5,112,29,83,2.39,0
Primera Division,Real Madrid,2013,3,27,6,5,104,38,66,2.29,0,0,2,30,2,6,118,38,80,2.42,0,2,28,6,4,110,34,76,2.37,0
Primera Division,Sevilla FC,2013,5,18,9,11,69,52,17,1.66,0,0,5,23,7,8,71,45,26,2.0,1,7,14,10,14,51,50,1,1.37,0
Primera Division,Villarreal CF,2013,6,17,8,13,60,44,16,1.55,0,0,6,16,12,10,48,37,11,1.58,0,4,18,10,10,44,35,9,1.68,0
Primera Division,Getafe CF,2013,13,11,9,18,35,54,-19,1.11,1,2,15,10,7,21,33,64,-31,0.97,2,19,9,9,20,37,67,-30,0.95,2
Primera Division,Levante UD,2013,10,12,12,14,35,43,-8,1.26,1,1,14,9,10,19,34,67,-33,0.97,2,20,8,8,22,37,70,-33,0.84,2
Primera Division,Málaga CF,2013,11,12,9,17,39,46,-7,1.18,1,1,9,14,8,16,42,48,-6,1.32,1,8,12,12,14,38,35,3,1.26,1
Primera Division,RCD Espanyol Barcelona,2013,14,11,9,18,41,51,-10,1.11,1,1,10,13,10,15,47,51,-4,1.29,1,13,12,7,19,40,74,-34,1.13,1
