,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.9959248010834587,0.7555508726786802,0.9845906805326936,0.8450785498283228,0.4275251320750708
bundesliga,0.9959248010834587,1.0,0.9589973903152619,0.8450785498283228,0.9845906805326936,0.1681343871580162
la_liga,0.7555508726786802,0.9589973903152619,1.0,0.3260395134037003,0.9999809829079775,0.01663899635674282
ligue_1_fr,0.9845906805326936,0.8450785498283228,0.3260395134037003,1.0,0.4275251320750708,0.8450785498283226
premier_league,0.8450785498283228,0.9845906805326936,0.9999809829079775,0.4275251320750708,1.0,0.0283719712971362
serie_a_it,0.4275251320750708,0.1681343871580162,0.01663899635674282,0.8450785498283226,0.0283719712971362,1.0
