,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.9845906805326936,0.9589973903152619,0.8450785498283228,0.8026943230489758,0.9999993986076617
bundesliga,0.9845906805326936,1.0,0.9999809829079775,0.9959248010834587,0.3752516513416827,0.9916256577518653
la_liga,0.9589973903152619,0.9999809829079775,1.0,0.9994196152859195,0.28043680199682564,0.9739803876884496
ligue_1_fr,0.8450785498283228,0.9959248010834587,0.9994196152859195,1.0,0.13904022606820732,0.8820968224058088
premier_league,0.8026943230489758,0.3752516513416827,0.28043680199682564,0.13904022606820732,1.0,0.7555508726786805
serie_a_it,0.9999993986076617,0.9916256577518653,0.9739803876884496,0.8820968224058088,0.7555508726786805,1.0
