,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.9845906805326936,0.9589973903152619,0.9994196152859195,0.4821345598208241,0.9999993986076617
bundesliga,0.9845906805326936,1.0,0.9999809829079775,0.9134102536506219,0.13904022606820732,0.9916256577518653
la_liga,0.9589973903152619,0.9999809829079775,1.0,0.8450785498283228,0.09241776471477381,0.9739803876884497
ligue_1_fr,0.9994196152859195,0.9134102536506219,0.8450785498283228,1.0,0.704481648096321,0.9982903264489418
premier_league,0.4821345598208241,0.13904022606820732,0.09241776471477381,0.704481648096321,1.0,0.4275251320750708
serie_a_it,0.9999993986076617,0.9916256577518653,0.9739803876884497,0.9982903264489418,0.4275251320750708,1.0
