,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.594680148035732,0.594680148035732,0.9589973903152618,0.9994196152859195,0.9589973903152618
bundesliga,0.594680148035732,1.0,1.0,0.9739803876884497,0.3752516513416827,0.9739803876884497
la_liga,0.594680148035732,1.0,1.0,0.9739803876884497,0.3752516513416827,0.9739803876884497
ligue_1_fr,0.9589973903152618,0.9739803876884497,0.9739803876884497,1.0,0.8450785498283228,1.0
premier_league,0.9994196152859195,0.3752516513416827,0.3752516513416827,0.8450785498283228,1.0,0.8450785498283228
serie_a_it,0.9589973903152618,0.9739803876884497,0.9739803876884497,1.0,0.8450785498283228,1.0
