,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.4275251320750708,0.9845906805326936,0.5381926756595736,0.8026943230489758,0.9916256577518653
bundesliga,0.4275251320750708,1.0,0.8450785498283228,0.9999809829079775,0.021820164763006744,0.8026943230489758
la_liga,0.9845906805326936,0.8450785498283228,1.0,0.9134102536506219,0.3752516513416825,0.9999993986076617
ligue_1_fr,0.5381926756595736,0.9999809829079775,0.9134102536506219,1.0,0.0365739599784477,0.8820968224058089
premier_league,0.8026943230489758,0.021820164763006744,0.3752516513416825,0.0365739599784477,1.0,0.4275251320750708
serie_a_it,0.9916256577518653,0.8026943230489758,0.9999993986076617,0.8820968224058089,0.4275251320750708,1.0
