,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.9982903264489418,0.704481648096321,0.9999993986076617,0.3752516513416827,0.9999809829079775
bundesliga,0.9982903264489418,1.0,0.9134102536506218,0.9959248010834588,0.6504895337726584,0.9916256577518653
la_liga,0.704481648096321,0.9134102536506218,1.0,0.6504895337726584,0.9959248010834588,0.5946801480357323
ligue_1_fr,0.9999993986076617,0.9959248010834588,0.6504895337726584,1.0,0.3260395134037005,0.9999993986076617
premier_league,0.3752516513416827,0.6504895337726584,0.9959248010834588,0.3260395134037005,1.0,0.28043680199682586
serie_a_it,0.9999809829079775,0.9916256577518653,0.5946801480357323,0.9999993986076617,0.28043680199682586,1.0
