,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.8450785498283225,0.9589973903152619,0.8450785498283225,0.9959248010834588,0.9589973903152619
bundesliga,0.8450785498283225,1.0,0.9994196152859195,1.0,0.5381926756595736,0.9994196152859195
la_liga,0.9589973903152619,0.9994196152859195,1.0,0.9994196152859195,0.7555508726786805,1.0
ligue_1_fr,0.8450785498283225,1.0,0.9994196152859195,1.0,0.5381926756595736,0.9994196152859195
premier_league,0.9959248010834588,0.5381926756595736,0.7555508726786805,0.5381926756595736,1.0,0.7555508726786805
serie_a_it,0.9589973903152619,0.9994196152859195,1.0,0.9994196152859195,0.7555508726786805,1.0
