dataset,duration,fried_stat,fried_p,all_leagues_mean,all_leagues_std,bundesliga_mean,bundesliga_std,la_liga_mean,la_liga_std,ligue_1_fr_mean,ligue_1_fr_std,premier_league_mean,premier_league_std,serie_a_it_mean,serie_a_it_std,p_all_leagues_vs_bundesliga,p_all_leagues_vs_la_liga,p_all_leagues_vs_ligue_1_fr,p_all_leagues_vs_premier_league,p_all_leagues_vs_serie_a_it,p_bundesliga_vs_la_liga,p_bundesliga_vs_ligue_1_fr,p_bundesliga_vs_premier_league,p_bundesliga_vs_serie_a_it,p_la_liga_vs_ligue_1_fr,p_la_liga_vs_premier_league,p_la_liga_vs_serie_a_it,p_ligue_1_fr_vs_premier_league,p_ligue_1_fr_vs_serie_a_it,p_premier_league_vs_serie_a_it
data_1,1year,4.022988505747127,0.5461109383903542,0.5744282171397079,0.05601918710484981,0.5555555555555556,0.06211299937499413,0.5587301587301587,0.04449048069261577,0.5692307692307692,0.033431807206167466,0.6599999999999999,0.1318142632646407,0.575,0.03535533905932736,0.9739803876884497,0.938967189578732,0.9994196152859195,0.9589973903152619,0.9994196152859195,0.9999809829079775,0.9982903264489418,0.5946801480357323,0.9982903264489418,0.9916256577518653,0.4821345598208244,0.9916256577518653,0.8450785498283228,1.0,0.8450785498283228
data_1,3year,8.052325581395346,0.1533753418573253,0.5674922600619194,0.016735806397859102,0.5633004926108375,0.08953633926197797,0.5945812807881773,0.10139888841868454,0.5965725806451613,0.05843470980139598,0.69375,0.09732757188998398,0.58125,0.07194290270763337,0.9982903264489418,0.704481648096321,0.9999993986076617,0.3752516513416827,0.9999809829079775,0.9134102536506218,0.9959248010834588,0.6504895337726584,0.9916256577518653,0.6504895337726584,0.9959248010834588,0.5946801480357323,0.3260395134037005,0.9999993986076617,0.28043680199682586
data_1,5year,14.714285714285708,0.011655524770004939,0.5941266209000763,0.025573952280001526,0.6575757575757576,0.08375252972457285,0.670995670995671,0.12367056955852213,0.5981884057971014,0.11744943989000879,0.65,0.06319062870042956,0.5166666666666666,0.03726779962499649,0.9959248010834587,0.7555508726786802,0.9845906805326936,0.8450785498283228,0.4275251320750708,0.9589973903152619,0.8450785498283228,0.9845906805326936,0.1681343871580162,0.3260395134037003,0.9999809829079775,0.01663899635674282,0.4275251320750708,0.8450785498283226,0.0283719712971362
data_2,1year,13.333333333333329,0.02044748194581528,0.6583981001727116,0.023201327542822264,0.5666666666666667,0.09541980020732035,0.6333333333333334,0.06413670298528745,0.61,0.03354101966249687,0.75,0.06373774391990979,0.655,0.04107919181288744,0.4275251320750708,0.9845906805326936,0.5381926756595736,0.8026943230489758,0.9916256577518653,0.8450785498283228,0.9999809829079775,0.021820164763006744,0.8026943230489758,0.9134102536506219,0.3752516513416825,0.9999993986076617,0.0365739599784477,0.8820968224058089,0.4275251320750708
data_2,3year,4.883040935672516,0.43032029375762604,0.702991202346041,0.012211338415007702,0.6669950738916256,0.09180289011043602,0.7080459770114942,0.07205714031566658,0.66875,0.06846531968814579,0.775,0.0808886194096549,0.675,0.0784368774875696,0.8450785498283225,0.9589973903152619,0.8450785498283225,0.9959248010834588,0.9589973903152619,0.9994196152859195,1.0,0.5381926756595736,0.9994196152859195,0.9994196152859195,0.7555508726786805,1.0,0.5381926756595736,0.9994196152859195,0.7555508726786805
data_2,5year,9.112426035502954,0.10466301607423784,0.7150374812593704,0.039857388636465194,0.6489177489177489,0.09746751083692884,0.6407114624505929,0.10492377583061405,0.725,0.06972166887783961,0.8,0.045643546458763846,0.7083333333333333,0.05103103630798287,0.9845906805326936,0.9589973903152619,0.9994196152859195,0.4821345598208241,0.9999993986076617,0.9999809829079775,0.9134102536506219,0.13904022606820732,0.9916256577518653,0.8450785498283228,0.09241776471477381,0.9739803876884497,0.704481648096321,0.9982903264489418,0.4275251320750708
data_3,1year,7.643678160919534,0.17699745900350217,0.6666740148801322,0.022857612086291026,0.6444444444444445,0.08193267335418125,0.6533333333333333,0.10632758605157717,0.5743589743589743,0.06686361441233488,0.745,0.06937218462755806,0.67,0.020916500663351857,0.9845906805326936,0.9589973903152619,0.8450785498283228,0.8026943230489758,0.9999993986076617,0.9999809829079775,0.9959248010834587,0.3752516513416827,0.9916256577518653,0.9994196152859195,0.28043680199682564,0.9739803876884496,0.13904022606820732,0.8820968224058088,0.7555508726786805
data_3,3year,6.494252873563217,0.26104991625735424,0.7117045063639491,0.034495100196011076,0.6118226600985222,0.08627020898173338,0.6431034482758621,0.0639232557838539,0.6856854838709677,0.07088206200697068,0.76875,0.07843687748756957,0.675,0.07194290270763339,0.594680148035732,0.594680148035732,0.9589973903152618,0.9994196152859195,0.9589973903152618,1.0,0.9739803876884497,0.3752516513416827,0.9739803876884497,0.9739803876884497,0.3752516513416827,0.9739803876884497,0.8450785498283228,1.0,0.8450785498283228
data_3,5year,6.315789473684203,0.2766924029273095,0.7072768878718536,0.039561769526558294,0.6493506493506493,0.0893889603762091,0.6523809523809524,0.12449745308355166,0.6231884057971014,0.10504122474147985,0.7833333333333334,0.06846531968814575,0.7,0.07453559924999296,0.9845906805326936,0.9959248010834587,0.9739803876884497,0.7555508726786802,0.9999993986076617,0.9999809829079775,0.9999993986076617,0.32603951340369997,0.9739803876884496,0.9998584169610254,0.4275251320750708,0.9916256577518653,0.28043680199682564,0.9589973903152619,0.8026943230489758
