,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.9739803876884497,0.938967189578732,0.9994196152859195,0.9589973903152619,0.9994196152859195
bundesliga,0.9739803876884497,1.0,0.9999809829079775,0.9982903264489418,0.5946801480357323,0.9982903264489418
la_liga,0.938967189578732,0.9999809829079775,1.0,0.9916256577518653,0.4821345598208244,0.9916256577518653
ligue_1_fr,0.9994196152859195,0.9982903264489418,0.9916256577518653,1.0,0.8450785498283228,1.0
premier_league,0.9589973903152619,0.5946801480357323,0.4821345598208244,0.8450785498283228,1.0,0.8450785498283228
serie_a_it,0.9994196152859195,0.9982903264489418,0.9916256577518653,1.0,0.8450785498283228,1.0
