,all_leagues,bundesliga,la_liga,ligue_1_fr,premier_league,serie_a_it
all_leagues,1.0,0.9845906805326936,0.9959248010834587,0.9739803876884497,0.7555508726786802,0.9999993986076617
bundesliga,0.9845906805326936,1.0,0.9999809829079775,0.9999993986076617,0.32603951340369997,0.9739803876884496
la_liga,0.9959248010834587,0.9999809829079775,1.0,0.9998584169610254,0.4275251320750708,0.9916256577518653
ligue_1_fr,0.9739803876884497,0.9999993986076617,0.9998584169610254,1.0,0.28043680199682564,0.9589973903152619
premier_league,0.7555508726786802,0.32603951340369997,0.4275251320750708,0.28043680199682564,1.0,0.8026943230489758
serie_a_it,0.9999993986076617,0.9739803876884496,0.9916256577518653,0.9589973903152619,0.8026943230489758,1.0
