league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
Ligue 1,Grenoble Foot 38,2009,3.6,0.72,25.6,0.4,0.4,27.0,1,1.5,1.5,22.0,1,1.1,0.55,29.0,2,0.6,0.6,21.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,20,5,8,25,31,61,-30,0.61,2
Ligue 1,Le Mans FC,2009,2.633,0.878,25.667,0.8,0.8,26.0,1,1.5,1.5,28.0,1,0.333,0.333,23.0,1,0.0,0.0,0.0,0,10.5,5.25,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,4.0,23.0,1,6.5,6.5,22.0,1,2,18,8,8,22,36,59,-23,0.84,2
Ligue 1,OGC Nice,2009,3.5,1.75,25.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.5,1.75,25.5,2,1.45,0.483,29.667,0.0,0.0,0.0,0,1.4,0.7,30.5,2,0.0,0.0,0.0,0,0.05,0.05,28.0,1,2,15,11,11,16,41,57,-16,1.16,0
Ligue 1,US Boulogne,2009,2.035,0.509,24.0,0.5,0.5,26.0,1,1.15,0.575,23.0,2,0.0,0.0,0.0,0,0.385,0.385,24.0,1,2.15,2.15,22.0,0.0,0.0,0.0,0,2.15,2.15,22.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,19,7,10,21,31,62,-31,0.82,2
Ligue 1,FC Sochaux-Montbéliard,2010,3.3,1.65,26.0,0.0,0.0,0.0,0,0.3,0.3,30.0,1,0.0,0.0,0.0,0,3.0,3.0,22.0,1,2.5,1.25,27.5,0.0,0.0,0.0,0,1.0,1.0,24.0,1,1.5,1.5,31.0,1,0.0,0.0,0.0,0,0,5,17,7,14,60,43,17,1.53,2
Ligue 1,LOSC Lille,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.3,1.15,27.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.3,1.15,27.0,2,0,1,21,13,4,68,36,32,2.0,0
Ligue 1,Olympique Lyon,2010,28.44,9.48,24.667,0.0,0.0,0.0,0,0.44,0.44,26.0,1,22.0,22.0,24.0,1,6.0,6.0,24.0,1,10.815,2.704,28.75,0.0,0.0,0.0,0,0.915,0.915,30.0,1,8.7,4.35,27.0,2,1.2,1.2,31.0,1,0,3,17,13,8,61,40,21,1.68,0
Ligue 1,Olympique Marseille,2010,41.5,10.375,24.0,0.0,0.0,0.0,0,10.0,5.0,24.5,2,0.0,0.0,0.0,0,31.5,15.75,23.5,2,22.6,3.767,25.0,0.0,0.0,0.0,0,0.8,0.8,22.0,1,8.5,4.25,23.0,2,13.3,4.433,27.333,3,0,2,18,14,6,62,39,23,1.79,0
Ligue 1,Paris Saint-Germain,2010,9.0,3.0,27.667,0.0,0.0,0.0,0,1.5,1.5,28.0,1,7.5,3.75,27.5,2,0.0,0.0,0.0,0,7.0,7.0,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.0,7.0,26.0,1,0.0,0.0,0.0,0,0,4,15,15,8,56,41,15,1.58,0
Ligue 1,Stade Rennais FC,2010,22.2,2.775,23.375,1.0,1.0,22.0,1,6.5,3.25,21.5,2,2.7,1.35,26.0,2,12.0,4.0,23.333,3,34.125,6.825,26.6,0.0,0.0,0.0,0,4.125,2.062,30.0,2,0.0,0.0,0.0,0,30.0,10.0,24.333,3,0,6,15,11,12,38,35,3,1.47,1
