league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
1 Bundesliga,Bayer 04 Leverkusen,2009,6.55,2.183,20.333,0.0,0.0,0.0,0,0.25,0.25,20.0,1,2.5,2.5,20.0,1,3.8,3.8,21.0,1,1.6,0.4,23.0,0.0,0.0,0.0,0,0.4,0.4,22.0,1,0.5,0.5,22.0,1,0.7,0.35,24.0,2,0,4,15,14,5,65,38,27,1.74,0
1 Bundesliga,Bayern Munich,2009,75.7,15.14,26.2,0.0,0.0,0.0,0,9.7,4.85,26.5,2,11.0,11.0,30.0,1,55.0,27.5,24.0,2,22.95,4.59,25.2,0.0,0.0,0.0,0,11.2,5.6,25.5,2,11.75,3.917,25.0,3,0.0,0.0,0.0,0,0,1,20,10,4,72,31,41,2.06,0
1 Bundesliga,Borussia Dortmund,2009,10.9,2.725,22.5,0.0,0.0,0.0,0,4.2,4.2,20.0,1,1.5,1.5,20.0,1,5.2,2.6,25.0,2,6.35,1.588,26.75,0.0,0.0,0.0,0,1.9,0.95,25.0,2,0.2,0.2,27.0,1,4.25,4.25,30.0,1,0,5,16,9,9,54,42,12,1.68,1
1 Bundesliga,FC Schalke 04,2009,8.5,0.944,21.667,0.0,0.0,0.0,0,0.4,0.2,21.5,2,7.0,1.75,22.0,4,1.1,0.367,21.333,3,4.8,1.2,23.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.7,1.567,24.667,3,0.1,0.1,19.0,1,0,2,19,8,7,53,31,22,1.91,0
1 Bundesliga,SV Werder Bremen,2009,13.0,2.167,23.833,0.0,0.0,0.0,0,0.2,0.2,20.0,1,8.95,4.475,24.5,2,3.85,1.283,24.667,3,32.375,8.094,23.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,27.075,13.538,22.5,2,5.3,2.65,24.0,2,0,3,17,10,7,71,40,31,1.79,1
1 Bundesliga,VfB Stuttgart,2009,18.1,3.017,22.833,0.0,0.0,0.0,0,3.0,1.5,23.0,2,10.3,3.433,22.0,3,4.8,4.8,25.0,1,30.95,7.738,27.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.95,0.317,28.667,3,30.0,30.0,23.0,1,0,6,15,10,9,51,41,10,1.62,1
1 Bundesliga,1. FC Köln,2009,11.5,3.833,22.0,0.0,0.0,0.0,0,1.0,1.0,20.0,1,10.0,10.0,24.0,1,0.5,0.5,22.0,1,0.9,0.3,25.0,0.0,0.0,0.0,0,0.05,0.05,24.0,1,0.75,0.75,26.0,1,0.1,0.1,25.0,1,1,13,9,11,14,33,42,-9,1.12,1
1 Bundesliga,1.FSV Mainz 05,2009,3.6,0.45,25.5,0.3,0.3,31.0,1,1.0,1.0,26.0,1,2.075,0.519,24.5,4,0.225,0.112,24.5,2,0.2,0.1,30.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.05,0.05,29.0,1,0.15,0.15,31.0,1,1,9,12,11,11,36,42,-6,1.38,1
1 Bundesliga,Borussia Mönchengladbach,2009,10.5,2.625,24.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.3,2.1,25.667,3,4.2,4.2,22.0,1,8.4,2.1,23.25,0.0,0.0,0.0,0,0.15,0.075,23.0,2,8.25,4.125,23.5,2,0.0,0.0,0.0,0,1,12,10,9,15,43,60,-17,1.15,0
1 Bundesliga,Eintracht Frankfurt,2009,1.25,0.625,24.5,0.0,0.0,0.0,0,0.75,0.75,27.0,1,0.5,0.5,22.0,1,0.0,0.0,0.0,0,0.6,0.2,22.0,0.0,0.0,0.0,0,0.4,0.2,23.0,2,0.2,0.2,20.0,1,0.0,0.0,0.0,0,1,10,12,10,12,47,54,-7,1.35,1
