league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Serie A,Genoa CFC,2009,78.99,3.949,23.35,5.0,5.0,27.0,1,16.65,2.081,23.375,8,16.65,3.33,21.2,5,40.69,6.782,24.5,6,68.95,4.597,25.133,5.8,2.9,27.5,2,18.0,3.6,26.2,5,13.1,3.275,22.25,4,32.05,8.012,25.5,4,1,9,14,9,15,57,61,-4,1.34,0
Serie A,Juventus FC,2009,59.3,8.471,24.429,0.0,0.0,0.0,0,2.5,1.25,26.5,2,53.0,17.667,24.0,3,3.8,1.9,23.0,2,14.3,2.043,26.857,0.0,0.0,0.0,0,3.3,1.1,25.667,3,7.5,2.5,29.333,3,3.5,3.5,23.0,1,1,7,16,7,15,55,56,-1,1.45,0
Serie A,Parma Calcio 1913,2009,27.471,2.747,24.6,3.6,3.6,25.0,1,6.371,1.593,24.25,4,15.0,3.75,25.75,4,2.5,2.5,21.0,1,30.964,3.096,26.2,0.0,0.0,0.0,0,0.964,0.482,21.0,2,19.5,3.9,27.0,5,10.5,3.5,28.333,3,1,8,14,10,14,46,51,-5,1.37,2
Serie A,SS Lazio,2009,31.2,4.457,27.571,0.0,0.0,0.0,0,3.9,1.3,29.0,3,6.55,3.275,28.0,2,20.75,10.375,25.0,2,13.2,2.64,26.0,1.0,1.0,25.0,1,12.2,3.05,26.25,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,12,11,13,14,39,43,-4,1.21,0
Serie A,AC Siena,2009,17.4,1.74,25.1,0.8,0.8,28.0,1,4.0,1.333,25.333,3,4.6,1.15,24.75,4,8.0,4.0,24.0,2,27.2,3.886,24.571,0.0,0.0,0.0,0,10.0,5.0,22.5,2,16.7,4.175,26.0,4,0.5,0.5,23.0,1,2,19,7,10,21,40,67,-27,0.82,2
Serie A,AS Livorno,2009,2.27,0.284,25.5,0.4,0.4,27.0,1,0.35,0.175,25.5,2,1.12,0.28,26.0,4,0.4,0.4,22.0,1,7.7,3.85,25.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.7,3.85,25.5,2,0.0,0.0,0.0,0,2,20,7,8,23,27,61,-34,0.76,2
Serie A,Atalanta BC,2009,11.5,1.643,26.286,0.0,0.0,0.0,0,0.9,0.9,21.0,1,5.9,1.967,25.333,3,4.7,1.567,29.0,3,22.22,3.703,22.5,0.0,0.0,0.0,0,0.15,0.15,22.0,1,11.55,3.85,22.0,3,10.52,5.26,23.5,2,2,18,9,8,21,37,53,-16,0.92,2
Serie A,Bologna FC 1909,2009,10.47,1.163,26.222,3.55,1.775,24.0,2,0.94,0.313,25.333,3,5.88,1.96,29.667,3,0.1,0.1,23.0,1,6.2,1.24,28.4,0.0,0.0,0.0,0,2.5,2.5,25.0,1,3.2,1.067,31.333,3,0.5,0.5,23.0,1,2,17,10,12,16,42,55,-13,1.11,2
Serie A,Cagliari Calcio,2009,12.75,1.821,23.571,0.0,0.0,0.0,0,1.8,0.9,21.0,2,6.45,1.612,24.5,4,4.5,4.5,25.0,1,1.05,1.05,24.0,0.0,0.0,0.0,0,1.05,1.05,24.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,16,11,11,16,56,58,-2,1.16,2
Serie A,Udinese Calcio,2009,18.333,1.667,21.727,0.0,0.0,0.0,0,0.5,0.5,19.0,1,5.533,1.107,20.6,5,12.3,2.46,23.4,5,36.3,3.63,24.4,0.0,0.0,0.0,0,6.65,2.217,23.667,3,7.0,2.333,22.667,3,22.65,5.663,26.25,4,2,15,11,11,16,54,59,-5,1.16,2
