league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_next_1_years
Ligue 1,RC Lens,2009,4.95,1.237,25.75,0.6,0.6,26.0,1,1.0,1.0,27.0,1,0.35,0.35,22.0,1,3.0,3.0,28.0,1,3.0,1.5,22.5,0.0,0.0,0.0,0,2.5,2.5,17.0,1,0.0,0.0,0.0,0,0.5,0.5,28.0,1,11,12,12,14,40,44,-4,1.26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.315,2.772,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.315,23.0,1.0,8.0,4.0,26.0,2.0,2,19,7,14,17,35,58,-23,0.92,2
Ligue 1,Stade Rennais FC,2009,14.6,4.867,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.6,1.8,21.0,2,11.0,11.0,24.0,1,13.802,3.45,27.0,0.0,0.0,0.0,0,1.5,1.5,25.0,1,12.302,4.101,27.667,3,0.0,0.0,0.0,0,9,14,11,13,52,41,11,1.39,1,22.2,2.775,23.375,1.0,1.0,22.0,1.0,6.5,3.25,21.5,2.0,2.7,1.35,26.0,2.0,12.0,4.0,23.333,3.0,34.125,6.825,26.6,0.0,0.0,0.0,0.0,4.125,2.062,30.0,2.0,0.0,0.0,0.0,0.0,30.0,10.0,24.333,3.0,0,6,15,11,12,38,35,3,1.47,0
Ligue 1,Valenciennes FC,2009,5.45,1.09,23.8,0.0,0.0,0.0,0,1.2,0.6,22.0,2,2.25,1.125,24.5,2,2.0,2.0,26.0,1,0.5,0.5,29.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5,0.5,29.0,1,10,14,10,14,50,50,0,1.37,1,1.8,0.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.9,23.0,2.0,8.5,2.833,27.0,0.0,0.0,0.0,0.0,1.5,1.5,28.0,1.0,0.0,0.0,0.0,0.0,7.0,3.5,26.5,2.0,1,12,10,18,10,45,41,4,1.26,1
Ligue 1,AS Saint-Étienne,2009,19.5,3.25,24.5,0.8,0.8,28.0,1,0.0,0.0,0.0,0,4.5,2.25,23.5,2,14.2,4.733,24.0,3,14.4,4.8,26.0,0.4,0.4,27.0,1,0.0,0.0,0.0,0,1.0,1.0,28.0,1,13.0,13.0,23.0,1,17,10,10,18,27,45,-18,1.05,2,3.925,0.981,26.5,0.0,0.0,0.0,0.0,0.125,0.125,31.0,1.0,3.2,1.6,27.0,2.0,0.6,0.6,21.0,1.0,5.25,1.312,23.0,0.0,0.0,0.0,0.0,1.1,1.1,23.0,1.0,3.25,1.625,23.5,2.0,0.9,0.9,22.0,1.0,1,10,12,13,13,46,47,-1,1.29,1
Ligue 1,FC Sochaux-Montbéliard,2009,7.5,1.875,24.75,0.0,0.0,0.0,0,2.0,1.0,27.5,2,0.0,0.0,0.0,0,5.5,2.75,22.0,2,10.2,3.4,21.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.7,0.85,21.0,2,8.5,8.5,22.0,1,16,11,8,19,28,52,-24,1.08,2,3.3,1.65,26.0,0.0,0.0,0.0,0.0,0.3,0.3,30.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,22.0,1.0,2.5,1.25,27.5,0.0,0.0,0.0,0.0,1.0,1.0,24.0,1.0,1.5,1.5,31.0,1.0,0.0,0.0,0.0,0.0,0,5,17,7,14,60,43,17,1.53,0
Ligue 1,Grenoble Foot 38,2009,3.6,0.72,25.6,0.4,0.4,27.0,1,1.5,1.5,22.0,1,1.1,0.55,29.0,2,0.6,0.6,21.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,20,5,8,25,31,61,-30,0.61,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,Le Mans FC,2009,2.633,0.878,25.667,0.8,0.8,26.0,1,1.5,1.5,28.0,1,0.333,0.333,23.0,1,0.0,0.0,0.0,0,10.5,5.25,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,4.0,23.0,1,6.5,6.5,22.0,1,18,8,8,22,36,59,-23,0.84,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,OGC Nice,2009,3.5,1.75,25.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.5,1.75,25.5,2,1.45,0.483,29.667,0.0,0.0,0.0,0,1.4,0.7,30.5,2,0.0,0.0,0.0,0,0.05,0.05,28.0,1,15,11,11,16,41,57,-16,1.16,2,1.7,0.567,25.333,0.0,0.0,0.0,0.0,1.4,0.7,22.5,2.0,0.0,0.0,0.0,0.0,0.3,0.3,31.0,1.0,23.0,7.667,22.667,0.0,0.0,0.0,0.0,4.0,4.0,23.0,1.0,0.0,0.0,0.0,0.0,19.0,9.5,22.5,2.0,2,17,11,13,14,33,48,-15,1.21,2
Ligue 1,US Boulogne,2009,2.035,0.509,24.0,0.5,0.5,26.0,1,1.15,0.575,23.0,2,0.0,0.0,0.0,0,0.385,0.385,24.0,1,2.15,2.15,22.0,0.0,0.0,0.0,0,2.15,2.15,22.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19,7,10,21,31,62,-31,0.82,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,FC Sochaux-Montbéliard,2010,3.3,1.65,26.0,0.0,0.0,0.0,0,0.3,0.3,30.0,1,0.0,0.0,0.0,0,3.0,3.0,22.0,1,2.5,1.25,27.5,0.0,0.0,0.0,0,1.0,1.0,24.0,1,1.5,1.5,31.0,1,0.0,0.0,0.0,0,5,17,7,14,60,43,17,1.53,0,5.25,1.312,20.5,0.0,0.0,0.0,0.0,3.5,1.75,20.0,2.0,0.0,0.0,0.0,0.0,1.75,0.875,21.0,2.0,11.5,5.75,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,25.0,1.0,9.0,9.0,22.0,1.0,1,14,11,9,18,40,60,-20,1.11,1
Ligue 1,LOSC Lille,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.3,1.15,27.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.3,1.15,27.0,2,1,21,13,4,68,36,32,2.0,0,23.4,2.925,25.375,0.0,0.0,0.0,0.0,2.2,0.733,29.0,3.0,10.5,5.25,27.0,2.0,10.7,3.567,20.667,3.0,36.9,5.271,25.429,0.0,0.0,0.0,0.0,8.0,4.0,25.0,2.0,6.0,3.0,26.0,2.0,22.9,7.633,25.333,3.0,0,3,21,11,6,72,39,33,1.95,0
Ligue 1,Olympique Lyon,2010,28.44,9.48,24.667,0.0,0.0,0.0,0,0.44,0.44,26.0,1,22.0,22.0,24.0,1,6.0,6.0,24.0,1,10.815,2.704,28.75,0.0,0.0,0.0,0,0.915,0.915,30.0,1,8.7,4.35,27.0,2,1.2,1.2,31.0,1,3,17,13,8,61,40,21,1.68,0,4.6,1.533,22.333,0.0,0.0,0.0,0.0,2.8,1.4,23.5,2.0,1.8,1.8,20.0,1.0,0.0,0.0,0.0,0.0,22.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,24.0,2.0,0.0,0.0,0.0,0.0,0,4,19,7,12,64,51,13,1.68,0
Ligue 1,Olympique Marseille,2010,41.5,10.375,24.0,0.0,0.0,0.0,0,10.0,5.0,24.5,2,0.0,0.0,0.0,0,31.5,15.75,23.5,2,22.6,3.767,25.0,0.0,0.0,0.0,0,0.8,0.8,22.0,1,8.5,4.25,23.0,2,13.3,4.433,27.333,3,2,18,14,6,62,39,23,1.79,0,11.0,3.667,25.667,0.0,0.0,0.0,0.0,6.0,3.0,24.0,2.0,5.0,5.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,12,12,14,45,41,4,1.26,1
Ligue 1,Paris Saint-Germain,2010,9.0,3.0,27.667,0.0,0.0,0.0,0,1.5,1.5,28.0,1,7.5,3.75,27.5,2,0.0,0.0,0.0,0,7.0,7.0,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.0,7.0,26.0,1,0.0,0.0,0.0,0,4,15,15,8,56,41,15,1.58,0,107.1,9.736,26.273,3.9,3.9,24.0,1.0,14.7,3.675,29.0,4.0,69.5,17.375,25.25,4.0,19.0,9.5,24.0,2.0,9.4,2.35,23.0,0.0,0.0,0.0,0.0,0.5,0.5,21.0,1.0,2.3,1.15,23.5,2.0,6.6,6.6,24.0,1.0,0,2,23,10,5,75,41,34,2.08,0
