league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_next_1_years
Ligue 1,Stade Rennais FC,2010,22.2,2.775,23.375,1.0,1.0,22.0,1,6.5,3.25,21.5,2,2.7,1.35,26.0,2,12.0,4.0,23.333,3,34.125,6.825,26.6,0.0,0.0,0.0,0,4.125,2.062,30.0,2,0.0,0.0,0.0,0,30.0,10.0,24.333,3,6,15,11,12,38,35,3,1.47,0,16.8,3.36,25.6,0.0,0.0,0.0,0.0,1.0,1.0,20.0,1.0,4.0,4.0,28.0,1.0,11.8,3.933,26.667,3.0,5.5,1.375,22.5,0.0,0.0,0.0,0.0,1.5,1.5,22.0,1.0,2.5,1.25,23.5,2.0,1.5,1.5,21.0,1.0,0,6,17,9,12,53,44,9,1.58,0
Ligue 1,AJ Auxerre,2010,3.5,1.75,24.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5,0.5,24.0,1,3.0,3.0,25.0,1,2.43,1.215,23.5,0.0,0.0,0.0,0,0.93,0.93,26.0,1,0.0,0.0,0.0,0,1.5,1.5,21.0,1,9,10,19,9,45,41,4,1.29,1,3.75,1.25,25.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.875,24.5,2.0,2.0,2.0,27.0,1.0,3.5,1.75,30.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0,1.5,1.5,30.0,1.0,0.0,0.0,0.0,0.0,2,20,7,13,18,46,57,-11,0.89,2
Ligue 1,AS Nancy-Lorraine,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.05,2.013,22.5,0.0,0.0,0.0,0,0.25,0.125,22.0,2,0.0,0.0,0.0,0,7.8,3.9,23.0,2,13,13,9,16,43,48,-5,1.26,1,5.35,1.07,23.4,0.8,0.8,25.0,1.0,0.0,0.0,0.0,0.0,1.9,0.95,24.0,2.0,2.65,1.325,22.0,2.0,9.6,1.6,26.333,0.0,0.0,0.0,0.0,0.7,0.35,27.5,2.0,7.2,2.4,24.0,3.0,1.7,1.7,31.0,1.0,1,11,11,12,15,38,48,-10,1.18,1
Ligue 1,AS Saint-Étienne,2010,3.925,0.981,26.5,0.0,0.0,0.0,0,0.125,0.125,31.0,1,3.2,1.6,27.0,2,0.6,0.6,21.0,1,5.25,1.312,23.0,0.0,0.0,0.0,0,1.1,1.1,23.0,1,3.25,1.625,23.5,2,0.9,0.9,22.0,1,10,12,13,13,46,47,-1,1.29,1,16.1,1.61,25.1,3.0,3.0,24.0,1.0,2.3,1.15,29.0,2.0,3.3,1.65,25.0,2.0,7.5,1.5,23.8,5.0,28.86,3.608,25.0,0.0,0.0,0.0,0.0,0.46,0.46,32.0,1.0,18.0,4.5,24.25,4.0,10.4,3.467,23.667,3.0,1,7,16,9,13,49,45,4,1.5,1
Ligue 1,FC Girondins Bordeaux,2010,10.5,2.1,22.2,0.0,0.0,0.0,0,1.5,1.5,20.0,1,0.0,0.0,0.0,0,9.0,2.25,22.75,4,22.0,22.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,22.0,22.0,24.0,1,0.0,0.0,0.0,0,7,12,15,11,43,42,1,1.34,1,4.0,2.0,26.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,1.0,1.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,12.5,4.167,29.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.167,29.333,3.0,0.0,0.0,0.0,0.0,0,5,16,13,9,53,41,12,1.61,0
Ligue 1,FC Lorient,2010,6.0,1.5,22.25,0.0,0.0,0.0,0,3.5,1.75,21.0,2,1.0,1.0,26.0,1,1.5,1.5,21.0,1,12.8,6.4,27.0,0.0,0.0,0.0,0,12.8,6.4,27.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,11,12,13,13,46,48,-2,1.29,1,11.1,1.85,23.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,1.0,3.5,1.75,22.5,2.0,5.6,1.867,23.0,3.0,16.0,5.333,24.333,0.0,0.0,0.0,0.0,2.5,2.5,27.0,1.0,0.0,0.0,0.0,0.0,13.5,6.75,23.0,2.0,2,17,9,12,17,35,49,-14,1.03,2
Ligue 1,FC Toulouse,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16.65,5.55,23.0,0.0,0.0,0.0,0,0.3,0.3,24.0,1,0.0,0.0,0.0,0,16.35,8.175,22.5,2,8,14,8,16,38,36,2,1.32,1,13.34,2.668,23.0,0.0,0.0,0.0,0.0,3.54,1.18,22.0,3.0,0.0,0.0,0.0,0.0,9.8,4.9,24.5,2.0,4.8,1.6,25.333,0.0,0.0,0.0,0.0,0.45,0.45,29.0,1.0,0.0,0.0,0.0,0.0,4.35,2.175,23.5,2.0,1,8,15,11,12,37,34,3,1.47,1
Ligue 1,Montpellier HSC,2010,4.3,1.075,25.25,0.0,0.0,0.0,0,0.8,0.8,22.0,1,1.0,1.0,27.0,1,2.5,1.25,26.0,2,14.0,4.667,24.333,1.0,1.0,22.0,1,0.0,0.0,0.0,0,6.5,6.5,25.0,1,6.5,6.5,26.0,1,14,12,11,15,32,43,-11,1.24,1,2.0,2.0,27.0,0.0,0.0,0.0,0.0,2.0,2.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,25,7,6,68,34,34,2.16,0
Ligue 1,Valenciennes FC,2010,1.8,0.9,23.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.8,0.9,23.0,2,8.5,2.833,27.0,0.0,0.0,0.0,0,1.5,1.5,28.0,1,0.0,0.0,0.0,0,7.0,3.5,26.5,2,12,10,18,10,45,41,4,1.26,1,4.1,1.025,22.5,0.0,0.0,0.0,0.0,3.1,1.55,21.5,2.0,1.0,0.5,23.5,2.0,0.0,0.0,0.0,0.0,4.2,2.1,23.5,0.0,0.0,0.0,0.0,3.2,3.2,27.0,1.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1,12,12,7,19,40,50,-10,1.13,1
Ligue 1,AS Monaco,2010,9.75,1.95,23.8,0.0,0.0,0.0,0,0.7,0.7,28.0,1,0.0,0.0,0.0,0,9.05,2.262,22.75,4,14.1,2.014,26.714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.2,2.4,28.667,3,6.9,1.725,25.25,4,18,9,17,12,36,40,-4,1.16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,Athlétic Club Arlésien,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5,0.25,26.5,0.0,0.0,0.0,0,0.2,0.2,29.0,1,0.0,0.0,0.0,0,0.3,0.3,24.0,1,20,3,11,24,21,70,-49,0.53,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,OGC Nice,2010,1.7,0.567,25.333,0.0,0.0,0.0,0,1.4,0.7,22.5,2,0.0,0.0,0.0,0,0.3,0.3,31.0,1,23.0,7.667,22.667,0.0,0.0,0.0,0,4.0,4.0,23.0,1,0.0,0.0,0.0,0,19.0,9.5,22.5,2,17,11,13,14,33,48,-15,1.21,2,8.35,1.392,24.667,0.0,0.0,0.0,0.0,2.1,2.1,24.0,1.0,3.55,1.183,24.667,3.0,2.7,1.35,25.0,2.0,0.6,0.3,25.0,0.0,0.0,0.0,0.0,0.5,0.5,24.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,26.0,1.0,1,13,10,12,16,39,46,-7,1.11,1
Ligue 1,RC Lens,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.315,2.772,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.315,0.315,23.0,1,8.0,4.0,26.0,2,19,7,14,17,35,58,-23,0.92,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,SM Caen,2010,4.2,2.1,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,3.0,21.0,1,1.2,1.2,23.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,15,11,13,14,46,51,-5,1.21,2,0.3,0.3,26.0,0.0,0.0,0.0,0.0,0.3,0.3,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,23.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,1.0,8.0,4.0,24.5,2.0,2,18,9,11,18,39,59,-20,1.0,2
Ligue 1,Stade Brestois 29,2010,3.8,0.543,24.429,0.0,0.0,0.0,0,1.6,0.533,23.667,3,1.0,0.5,24.5,2,1.2,0.6,25.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16,11,13,14,36,43,-7,1.21,2,2.5,0.625,22.75,0.0,0.0,0.0,0.0,1.3,0.65,20.5,2.0,0.7,0.7,21.0,1.0,0.5,0.5,29.0,1.0,8.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,23.0,1.0,2,15,8,17,13,31,38,-7,1.08,2
Ligue 1,FC Girondins Bordeaux,2011,4.0,2.0,26.0,0.0,0.0,0.0,0,3.0,3.0,25.0,1,1.0,1.0,27.0,1,0.0,0.0,0.0,0,12.5,4.167,29.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0,12.5,4.167,29.333,3,0.0,0.0,0.0,0,5,16,13,9,53,41,12,1.61,0,2.8,2.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,19.0,1.0,5.5,1.375,24.25,0.0,0.0,0.0,0.0,2.7,1.35,24.5,2.0,0.8,0.8,22.0,1.0,2.0,2.0,26.0,1.0,1,7,13,16,9,40,34,6,1.45,1
Ligue 1,LOSC Lille,2011,23.4,2.925,25.375,0.0,0.0,0.0,0,2.2,0.733,29.0,3,10.5,5.25,27.0,2,10.7,3.567,20.667,3,36.9,5.271,25.429,0.0,0.0,0.0,0,8.0,4.0,25.0,2,6.0,3.0,26.0,2,22.9,7.633,25.333,3,3,21,11,6,72,39,33,1.95,0,22.5,3.75,20.333,0.0,0.0,0.0,0.0,2.5,2.5,19.0,1.0,12.7,6.35,21.0,2.0,7.3,2.433,20.333,3.0,41.2,20.6,24.0,0.0,0.0,0.0,0.0,6.2,6.2,27.0,1.0,0.0,0.0,0.0,0.0,35.0,35.0,21.0,1.0,0,6,16,14,8,59,40,19,1.63,0
Ligue 1,Montpellier HSC,2011,2.0,2.0,27.0,0.0,0.0,0.0,0,2.0,2.0,27.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,2.0,30.0,0.0,0.0,0.0,0,2.0,2.0,30.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,25,7,6,68,34,34,2.16,0,12.5,3.125,24.75,0.0,0.0,0.0,0.0,5.0,5.0,27.0,1.0,0.0,0.0,0.0,0.0,7.5,2.5,24.0,3.0,20.0,10.0,24.0,0.0,0.0,0.0,0.0,8.0,8.0,23.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,25.0,1.0,1,9,15,7,16,54,51,3,1.37,1
Ligue 1,Olympique Lyon,2011,4.6,1.533,22.333,0.0,0.0,0.0,0,2.8,1.4,23.5,2,1.8,1.8,20.0,1,0.0,0.0,0.0,0,22.0,11.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,22.0,11.0,24.0,2,0.0,0.0,0.0,0,4,19,7,12,64,51,13,1.68,0,8.75,2.917,26.667,0.0,0.0,0.0,0.0,5.75,2.875,26.5,2.0,3.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,30.1,4.3,24.286,12.6,12.6,25.0,1.0,9.0,4.5,23.5,2.0,5.0,1.667,26.0,3.0,3.5,3.5,20.0,1.0,0,3,19,10,9,61,38,23,1.76,0
Ligue 1,Paris Saint-Germain,2011,107.1,9.736,26.273,3.9,3.9,24.0,1,14.7,3.675,29.0,4,69.5,17.375,25.25,4,19.0,9.5,24.0,2,9.4,2.35,23.0,0.0,0.0,0.0,0,0.5,0.5,21.0,1,2.3,1.15,23.5,2,6.6,6.6,24.0,1,2,23,10,5,75,41,34,2.08,0,151.0,25.167,24.5,0.0,0.0,0.0,0.0,48.0,24.0,25.5,2.0,12.0,12.0,19.0,1.0,91.0,30.333,25.667,3.0,4.75,2.375,28.0,0.0,0.0,0.0,0.0,2.75,2.75,28.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,1.0,0,1,25,8,5,69,23,46,2.18,0
Ligue 1,Stade Rennais FC,2011,16.8,3.36,25.6,0.0,0.0,0.0,0,1.0,1.0,20.0,1,4.0,4.0,28.0,1,11.8,3.933,26.667,3,5.5,1.375,22.5,0.0,0.0,0.0,0,1.5,1.5,22.0,1,2.5,1.25,23.5,2,1.5,1.5,21.0,1,6,17,9,12,53,44,9,1.58,0,8.7,2.9,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.1,21.5,2.0,2.5,2.5,23.0,1.0,27.5,3.438,25.375,0.0,0.0,0.0,0.0,3.0,3.0,29.0,1.0,16.0,5.333,23.667,3.0,8.5,2.125,25.75,4.0,1,13,13,7,18,48,59,-11,1.21,1
Ligue 1,AS Nancy-Lorraine,2011,5.35,1.07,23.4,0.8,0.8,25.0,1,0.0,0.0,0.0,0,1.9,0.95,24.0,2,2.65,1.325,22.0,2,9.6,1.6,26.333,0.0,0.0,0.0,0,0.7,0.35,27.5,2,7.2,2.4,24.0,3,1.7,1.7,31.0,1,11,11,12,15,38,48,-10,1.18,1,4.7,1.175,21.25,0.0,0.0,0.0,0.0,1.2,1.2,21.0,1.0,1.5,0.75,21.0,2.0,2.0,2.0,22.0,1.0,6.5,3.25,21.5,0.0,0.0,0.0,0.0,2.5,2.5,20.0,1.0,4.0,4.0,23.0,1.0,0.0,0.0,0.0,0.0,2,18,9,11,18,38,58,-20,1.0,2
Ligue 1,AS Saint-Étienne,2011,16.1,1.61,25.1,3.0,3.0,24.0,1,2.3,1.15,29.0,2,3.3,1.65,25.0,2,7.5,1.5,23.8,5,28.86,3.608,25.0,0.0,0.0,0.0,0,0.46,0.46,32.0,1,18.0,4.5,24.25,4,10.4,3.467,23.667,3,7,16,9,13,49,45,4,1.5,1,4.5,2.25,23.5,0.0,0.0,0.0,0.0,0.5,0.5,22.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,25.0,1.0,4.6,2.3,22.5,0.0,0.0,0.0,0.0,0.8,0.8,21.0,1.0,0.0,0.0,0.0,0.0,3.8,3.8,24.0,1.0,0,5,16,15,7,60,32,28,1.66,0
Ligue 1,FC Sochaux-Montbéliard,2011,5.25,1.312,20.5,0.0,0.0,0.0,0,3.5,1.75,20.0,2,0.0,0.0,0.0,0,1.75,0.875,21.0,2,11.5,5.75,23.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.5,2.5,25.0,1,9.0,9.0,22.0,1,14,11,9,18,40,60,-20,1.11,1,7.75,1.55,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,2.375,24.0,2.0,3.0,1.0,24.0,3.0,16.86,4.215,24.0,0.0,0.0,0.0,0.0,0.75,0.75,28.0,1.0,10.0,10.0,24.0,1.0,6.11,3.055,22.0,2.0,2,15,10,11,17,41,57,-16,1.08,2
Ligue 1,FC Toulouse,2011,13.34,2.668,23.0,0.0,0.0,0.0,0,3.54,1.18,22.0,3,0.0,0.0,0.0,0,9.8,4.9,24.5,2,4.8,1.6,25.333,0.0,0.0,0.0,0,0.45,0.45,29.0,1,0.0,0.0,0.0,0,4.35,2.175,23.5,2,8,15,11,12,37,34,3,1.47,1,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,14.1,2.82,25.4,0.0,0.0,0.0,0.0,5.0,5.0,27.0,1.0,4.7,2.35,24.5,2.0,4.4,2.2,25.5,2.0,1,10,13,12,13,49,47,2,1.34,1
Ligue 1,FC Évian Thonon Gaillard,2011,1.85,0.617,24.0,0.35,0.35,29.0,1,0.5,0.5,22.0,1,1.0,1.0,21.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,13,11,14,54,55,-1,1.32,1,1.6,0.8,21.5,0.0,0.0,0.0,0.0,0.4,0.4,20.0,1.0,1.2,1.2,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16,10,10,18,46,53,-7,1.05,2
Ligue 1,OGC Nice,2011,8.35,1.392,24.667,0.0,0.0,0.0,0,2.1,2.1,24.0,1,3.55,1.183,24.667,3,2.7,1.35,25.0,2,0.6,0.3,25.0,0.0,0.0,0.0,0,0.5,0.5,24.0,1,0.0,0.0,0.0,0,0.1,0.1,26.0,1,13,10,12,16,39,46,-7,1.11,1,6.0,2.0,23.667,0.0,0.0,0.0,0.0,3.0,3.0,23.0,1.0,1.5,1.5,20.0,1.0,1.5,1.5,28.0,1.0,8.7,1.74,24.4,0.0,0.0,0.0,0.0,3.0,3.0,25.0,1.0,1.5,1.5,26.0,1.0,4.2,1.4,23.667,3.0,0,4,18,10,10,57,46,11,1.68,0
Ligue 1,Olympique Marseille,2011,11.0,3.667,25.667,0.0,0.0,0.0,0,6.0,3.0,24.0,2,5.0,5.0,29.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10,12,12,14,45,41,4,1.26,1,8.7,1.45,25.167,0.4,0.4,18.0,1.0,2.8,1.4,23.5,2.0,2.5,1.25,29.0,2.0,3.0,3.0,28.0,1.0,29.8,5.96,26.0,0.0,0.0,0.0,0.0,8.8,8.8,22.0,1.0,10.5,3.5,27.333,3.0,10.5,10.5,26.0,1.0,0,2,21,8,9,42,36,6,1.87,0
Ligue 1,Valenciennes FC,2011,4.1,1.025,22.5,0.0,0.0,0.0,0,3.1,1.55,21.5,2,1.0,0.5,23.5,2,0.0,0.0,0.0,0,4.2,2.1,23.5,0.0,0.0,0.0,0,3.2,3.2,27.0,1,1.0,1.0,20.0,1,0.0,0.0,0.0,0,12,12,7,19,40,50,-10,1.13,1,3.6,0.9,24.0,0.0,0.0,0.0,0.0,2.3,1.15,20.5,2.0,0.0,0.0,0.0,0.0,1.3,0.65,27.5,2.0,4.0,2.0,27.0,0.0,0.0,0.0,0.0,3.5,3.5,25.0,1.0,0.5,0.5,29.0,1.0,0.0,0.0,0.0,0.0,1,11,12,12,14,49,53,-4,1.26,1
Ligue 1,AC Ajaccio,2011,0.2,0.2,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2,0.2,25.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16,9,14,15,40,61,-21,1.08,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,2,17,9,15,14,39,51,-12,1.05,2
Ligue 1,AJ Auxerre,2011,3.75,1.25,25.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.75,0.875,24.5,2,2.0,2.0,27.0,1,3.5,1.75,30.0,0.0,0.0,0.0,0,2.0,2.0,30.0,1,1.5,1.5,30.0,1,0.0,0.0,0.0,0,20,7,13,18,46,57,-11,0.89,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,Dijon FCO,2011,5.85,0.836,24.429,0.0,0.0,0.0,0,2.0,1.0,22.0,2,0.8,0.4,23.5,2,3.05,1.017,26.667,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19,9,9,20,38,63,-25,0.95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,FC Lorient,2011,11.1,1.85,23.0,0.0,0.0,0.0,0,2.0,2.0,24.0,1,3.5,1.75,22.5,2,5.6,1.867,23.0,3,16.0,5.333,24.333,0.0,0.0,0.0,0,2.5,2.5,27.0,1,0.0,0.0,0.0,0,13.5,6.75,23.0,2,17,9,12,17,35,49,-14,1.03,2,10.0,3.333,22.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.333,22.667,3.0,0.0,0.0,0.0,0.0,5.0,2.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,28.0,2.0,0.0,0.0,0.0,0.0,1,8,14,11,13,57,58,-1,1.39,1
Ligue 1,SM Caen,2011,0.3,0.3,26.0,0.0,0.0,0.0,0,0.3,0.3,26.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.0,3.0,23.667,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,22.0,1,8.0,4.0,24.5,2,18,9,11,18,39,59,-20,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,Stade Brestois 29,2011,2.5,0.625,22.75,0.0,0.0,0.0,0,1.3,0.65,20.5,2,0.7,0.7,21.0,1,0.5,0.5,29.0,1,8.0,8.0,23.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.0,8.0,23.0,1,15,8,17,13,31,38,-7,1.08,2,2.45,1.225,24.5,1.2,1.2,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,22.0,1.0,1.5,0.75,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,23.0,1.0,1.0,1.0,26.0,1.0,2,20,8,5,25,32,62,-30,0.76,2
Ligue 1,AS Saint-Étienne,2012,4.5,2.25,23.5,0.0,0.0,0.0,0,0.5,0.5,22.0,1,0.0,0.0,0.0,0,4.0,4.0,25.0,1,4.6,2.3,22.5,0.0,0.0,0.0,0,0.8,0.8,21.0,1,0.0,0.0,0.0,0,3.8,3.8,24.0,1,5,16,15,7,60,32,28,1.66,0,16.6,2.767,25.0,0.0,0.0,0.0,0.0,7.0,2.333,25.667,3.0,5.0,5.0,26.0,1.0,4.5,4.5,26.0,1.0,42.95,8.59,23.0,0.0,0.0,0.0,0.0,19.6,9.8,20.5,2.0,10.0,10.0,22.0,1.0,13.35,6.675,26.0,2.0,0,4,20,9,9,56,34,22,1.82,0
