league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Primera Division,Racing Santander,2009,6.5,1.083,24.5,0.0,0.0,0.0,0,2.3,0.767,24.333,3,1.2,1.2,23.0,1,3.0,1.5,25.5,2,8.5,4.25,24.5,0.0,0.0,0.0,0,6.0,6.0,22.0,1,0.0,0.0,0.0,0,2.5,2.5,27.0,1,2,16,9,12,17,42,59,-17,1.03,2
Primera Division,Real Valladolid CF,2009,6.675,1.669,24.75,0.0,0.0,0.0,0,0.925,0.462,26.0,2,0.0,0.0,0.0,0,5.75,2.875,23.5,2,9.5,4.75,21.0,5.5,5.5,20.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,4.0,22.0,1,2,18,7,15,16,37,62,-25,0.95,2
Primera Division,Sporting Gijón,2009,1.4,0.467,27.0,0.6,0.6,30.0,1,0.5,0.5,28.0,1,0.0,0.0,0.0,0,0.3,0.3,23.0,1,3.3,3.3,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.3,3.3,24.0,1,0.0,0.0,0.0,0,2,15,9,13,16,36,51,-15,1.05,2
Primera Division,Xerez CD,2009,0.5,0.5,24.0,0.5,0.5,24.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,20,8,10,20,38,66,-28,0.89,2
Primera Division,Athletic Bilbao,2010,2.72,1.36,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.7,2.7,21.0,1,0.02,0.02,23.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,6,18,4,16,59,55,4,1.53,0
Primera Division,FC Barcelona,2010,72.5,18.125,25.75,0.0,0.0,0.0,0,9.5,9.5,25.0,1,23.0,11.5,25.0,2,40.0,40.0,28.0,1,52.7,10.54,26.0,0.0,0.0,0.0,0,15.5,7.75,23.0,2,31.2,15.6,28.0,2,6.0,6.0,28.0,1,0,1,30,6,2,95,21,74,2.53,0
Primera Division,Real Madrid,2010,93.0,13.286,23.714,0.0,0.0,0.0,0,8.0,8.0,32.0,1,38.0,12.667,21.0,3,47.0,15.667,23.667,3,10.5,10.5,27.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.5,10.5,27.0,1,0.0,0.0,0.0,0,0,2,29,5,4,102,33,69,2.42,0
Primera Division,Sevilla FC,2010,17.1,2.85,23.5,0.0,0.0,0.0,0,8.8,2.933,23.667,3,8.3,2.767,23.333,3,0.0,0.0,0.0,0,29.6,7.4,27.75,0.0,0.0,0.0,0,22.0,7.333,27.0,3,0.0,0.0,0.0,0,7.6,7.6,30.0,1,0,5,17,7,14,62,61,1,1.53,1
Primera Division,Valencia CF,2010,27.85,4.642,26.333,0.0,0.0,0.0,0,0.3,0.3,29.0,1,12.0,6.0,24.5,2,15.55,5.183,26.667,3,84.35,12.05,26.571,0.3,0.3,25.0,1,7.5,3.75,28.0,2,29.55,14.775,24.0,2,47.0,23.5,28.5,2,0,3,21,8,9,64,44,20,1.87,1
Primera Division,Villarreal CF,2010,4.25,2.125,26.5,0.0,0.0,0.0,0,2.5,2.5,31.0,1,0.0,0.0,0.0,0,1.75,1.75,22.0,1,15.82,2.637,26.167,0.0,0.0,0.0,0,8.82,4.41,23.5,2,4.5,1.5,26.667,3,2.5,2.5,30.0,1,0,4,18,8,12,54,44,10,1.63,0
