league_name,club_name,year,Rk,PF,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
Primera Division,Real Zaragoza,2011,16,2,12,7,19,36,61,-25,1.13,2
Primera Division,Sporting Gijón,2011,19,2,10,7,21,42,69,-27,0.97,2
Primera Division,Villarreal CF,2011,18,2,9,14,15,39,53,-14,1.08,0
Primera Division,FC Barcelona,2012,1,0,32,4,2,115,40,75,2.63,0
Primera Division,Málaga CF,2012,6,0,16,9,13,53,50,3,1.5,1
Primera Division,Real Madrid,2012,2,0,26,7,5,103,42,61,2.24,0
Primera Division,Real Sociedad,2012,4,0,18,12,8,70,49,21,1.74,1
Primera Division,Valencia CF,2012,5,0,19,8,11,67,54,13,1.71,1
Primera Division,Athletic Bilbao,2012,12,1,12,9,17,44,65,-21,1.18,0
Primera Division,Getafe CF,2012,10,1,13,8,17,43,57,-14,1.24,2
Primera Division,Levante UD,2012,11,1,12,10,16,40,57,-17,1.21,2
Primera Division,RCD Espanyol Barcelona,2012,13,1,11,11,16,43,52,-9,1.16,1
Primera Division,Rayo Vallecano,2012,8,1,16,5,17,50,66,-16,1.39,2
Primera Division,Real Betis Balompié,2012,7,1,16,8,14,57,56,1,1.47,1
Primera Division,Sevilla FC,2012,9,1,14,8,16,58,54,4,1.32,1
Primera Division,CA Osasuna,2012,16,2,10,9,19,33,50,-17,1.03,2
Primera Division,Deportivo de La Coruña,2012,19,2,8,11,19,47,70,-23,0.92,2
Primera Division,Granada CF,2012,15,2,11,9,18,37,54,-17,1.11,2
Primera Division,RCD Mallorca,2012,18,2,9,9,20,43,72,-29,0.95,2
Primera Division,Real Zaragoza,2012,20,2,9,7,22,37,62,-25,0.89,2
Primera Division,Athletic Bilbao,2013,4,0,20,10,8,66,39,27,1.84,2
Primera Division,FC Barcelona,2013,2,0,27,6,5,100,33,67,2.29,0
Primera Division,Real Madrid,2013,3,0,27,6,5,104,38,66,2.29,0
Primera Division,Sevilla FC,2013,5,0,18,9,11,69,52,17,1.66,0
Primera Division,Villarreal CF,2013,6,0,17,8,13,60,44,16,1.55,0
Primera Division,Getafe CF,2013,13,1,11,9,18,35,54,-19,1.11,2
Primera Division,Levante UD,2013,10,1,12,12,14,35,43,-8,1.26,2
Primera Division,Málaga CF,2013,11,1,12,9,17,39,46,-7,1.18,1
Primera Division,RCD Espanyol Barcelona,2013,14,1,11,9,18,41,51,-10,1.11,1
Primera Division,Rayo Vallecano,2013,12,1,13,4,21,46,80,-34,1.13,2
Primera Division,Real Sociedad,2013,7,1,16,11,11,62,55,7,1.55,0
Primera Division,Valencia CF,2013,8,1,13,10,15,51,53,-2,1.29,1
Primera Division,CA Osasuna,2013,18,2,10,9,19,32,62,-30,1.03,2
Primera Division,Elche CF,2013,16,2,9,13,16,30,50,-20,1.05,2
Primera Division,Granada CF,2013,15,2,12,5,21,32,56,-24,1.08,2
Primera Division,Real Betis Balompié,2013,20,2,6,7,25,36,78,-42,0.66,2
Primera Division,Real Valladolid CF,2013,19,2,7,15,16,38,60,-22,0.95,2
Primera Division,UD Almería,2013,17,2,11,7,20,43,71,-28,1.05,2
Primera Division,FC Barcelona,2014,1,0,30,4,4,110,21,89,2.47,0
Primera Division,Real Madrid,2014,2,0,30,2,6,118,38,80,2.42,0
Primera Division,Sevilla FC,2014,5,0,23,7,8,71,45,26,2.0,1
Primera Division,Valencia CF,2014,4,0,22,11,5,70,32,38,2.03,0
Primera Division,Villarreal CF,2014,6,0,16,12,10,48,37,11,1.58,0
Primera Division,Athletic Bilbao,2014,7,1,15,10,13,42,41,1,1.45,2
Primera Division,Elche CF,2014,13,1,11,8,19,35,62,-27,1.08,2
Primera Division,Levante UD,2014,14,1,9,10,19,34,67,-33,0.97,2
Primera Division,Málaga CF,2014,9,1,14,8,16,42,48,-6,1.32,2
Primera Division,RCD Espanyol Barcelona,2014,10,1,13,10,15,47,51,-4,1.29,1
Primera Division,Rayo Vallecano,2014,11,1,15,4,19,46,68,-22,1.29,2
Primera Division,Real Sociedad,2014,12,1,11,13,14,44,51,-7,1.21,1
Primera Division,Córdoba CF,2014,20,2,3,11,24,22,68,-46,0.53,2
Primera Division,Deportivo de La Coruña,2014,16,2,7,14,17,35,60,-25,0.92,2
Primera Division,Getafe CF,2014,15,2,10,7,21,33,64,-31,0.97,1
Primera Division,Granada CF,2014,17,2,7,14,17,29,64,-35,0.92,2
Primera Division,SD Eibar,2014,18,2,9,8,21,34,55,-21,0.92,1
Primera Division,UD Almería,2014,19,2,8,8,22,35,64,-29,0.76,2
Primera Division,Athletic Bilbao,2015,5,0,18,8,12,58,45,13,1.63,1
Primera Division,FC Barcelona,2015,1,0,29,4,5,112,29,83,2.39,0
Primera Division,Real Madrid,2015,2,0,28,6,4,110,34,76,2.37,0
Primera Division,Villarreal CF,2015,4,0,18,10,10,44,35,9,1.68,1
Primera Division,Málaga CF,2015,8,1,12,12,14,38,35,3,1.26,2
Primera Division,RCD Espanyol Barcelona,2015,13,1,12,7,19,40,74,-34,1.13,1
Primera Division,Real Betis Balompié,2015,10,1,11,12,15,34,52,-18,1.18,1
Primera Division,Real Sociedad,2015,9,1,13,9,16,45,48,-3,1.26,1
Primera Division,SD Eibar,2015,14,1,11,10,17,49,61,-12,1.13,1
Primera Division,Sevilla FC,2015,7,1,14,10,14,51,50,1,1.37,0
Primera Division,UD Las Palmas,2015,11,1,12,8,18,45,53,-8,1.16,2
Primera Division,Valencia CF,2015,12,1,11,11,16,46,48,-2,1.16,0
Primera Division,Deportivo de La Coruña,2015,15,2,8,18,12,45,61,-16,1.11,2
Primera Division,Getafe CF,2015,19,2,9,9,20,37,67,-30,0.95,0
Primera Division,Granada CF,2015,16,2,10,9,19,46,69,-23,1.03,2
Primera Division,Levante UD,2015,20,2,8,8,22,37,70,-33,0.84,2
Primera Division,Rayo Vallecano,2015,18,2,9,11,18,52,73,-21,1.0,2
Primera Division,FC Barcelona,2016,2,0,28,6,4,116,37,79,2.37,0
Primera Division,Real Madrid,2016,1,0,29,6,3,106,41,65,2.45,0
Primera Division,Real Sociedad,2016,6,0,19,7,12,59,53,6,1.68,0
Primera Division,Sevilla FC,2016,4,0,21,9,8,69,49,20,1.89,0
Primera Division,Villarreal CF,2016,5,0,19,10,9,56,33,23,1.76,0
Primera Division,Deportivo Alavés,2016,9,1,14,13,11,41,43,-2,1.45,2
Primera Division,Málaga CF,2016,11,1,12,10,16,49,55,-6,1.21,2
Primera Division,RCD Espanyol Barcelona,2016,8,1,15,11,12,49,50,-1,1.47,2
Primera Division,SD Eibar,2016,10,1,15,9,14,56,51,5,1.42,1
Primera Division,UD Las Palmas,2016,14,1,10,9,19,53,74,-21,1.03,2
Primera Division,Valencia CF,2016,12,1,13,7,18,56,65,-9,1.21,1
Primera Division,CA Osasuna,2016,19,2,4,10,24,40,94,-54,0.58,1
Primera Division,CD Leganés,2016,17,2,8,11,19,36,55,-19,0.92,2
Primera Division,Deportivo de La Coruña,2016,16,2,8,12,18,43,61,-18,0.95,2
Primera Division,Granada CF,2016,20,2,4,8,26,30,82,-52,0.53,1
Primera Division,Real Betis Balompié,2016,15,2,10,9,19,41,64,-23,1.03,2
Primera Division,Sporting Gijón,2016,18,2,7,10,21,42,72,-30,0.82,2
Ligue 1,AJ Auxerre,2009,3,0,20,11,7,42,29,13,1.87,2
Ligue 1,FC Girondins Bordeaux,2009,6,0,19,7,12,58,40,18,1.68,1
Ligue 1,LOSC Lille,2009,4,0,21,7,10,72,40,32,1.84,0
Ligue 1,Olympique Lyon,2009,2,0,20,12,6,64,38,26,1.89,0
Ligue 1,Olympique Marseille,2009,1,0,23,9,6,69,36,33,2.05,0
Ligue 1,AS Monaco,2009,8,1,15,10,13,39,45,-6,1.45,2
Ligue 1,AS Nancy-Lorraine,2009,12,1,13,9,16,46,53,-7,1.26,2
Ligue 1,FC Lorient,2009,7,1,16,10,12,54,42,12,1.53,1
Ligue 1,FC Toulouse,2009,14,1,12,11,15,36,36,0,1.24,1
Ligue 1,Paris Saint-Germain,2009,13,1,12,11,15,50,46,4,1.24,0
Ligue 1,RC Lens,2009,11,1,12,12,14,40,44,-4,1.26,2
Ligue 1,Stade Rennais FC,2009,9,1,14,11,13,52,41,11,1.39,1
Ligue 1,Valenciennes FC,2009,10,1,14,10,14,50,50,0,1.37,1
Ligue 1,AS Saint-Étienne,2009,17,2,10,10,18,27,45,-18,1.05,0
Ligue 1,FC Sochaux-Montbéliard,2009,16,2,11,8,19,28,52,-24,1.08,2
Ligue 1,Grenoble Foot 38,2009,20,2,5,8,25,31,61,-30,0.61,2
Ligue 1,Le Mans FC,2009,18,2,8,8,22,36,59,-23,0.84,2
Ligue 1,OGC Nice,2009,15,2,11,11,16,41,57,-16,1.16,0
Ligue 1,US Boulogne,2009,19,2,7,10,21,31,62,-31,0.82,2
Ligue 1,FC Sochaux-Montbéliard,2010,5,0,17,7,14,60,43,17,1.53,2
Ligue 1,LOSC Lille,2010,1,0,21,13,4,68,36,32,2.0,0
Ligue 1,Olympique Lyon,2010,3,0,17,13,8,61,40,21,1.68,0
Ligue 1,Olympique Marseille,2010,2,0,18,14,6,62,39,23,1.79,0
Ligue 1,Paris Saint-Germain,2010,4,0,15,15,8,56,41,15,1.58,0
Ligue 1,Stade Rennais FC,2010,6,0,15,11,12,38,35,3,1.47,1
Ligue 1,AJ Auxerre,2010,9,1,10,19,9,45,41,4,1.29,2
Ligue 1,AS Nancy-Lorraine,2010,13,1,13,9,16,43,48,-5,1.26,2
Ligue 1,AS Saint-Étienne,2010,10,1,12,13,13,46,47,-1,1.29,0
Ligue 1,FC Girondins Bordeaux,2010,7,1,12,15,11,43,42,1,1.34,1
Ligue 1,FC Lorient,2010,11,1,12,13,13,46,48,-2,1.29,1
Ligue 1,FC Toulouse,2010,8,1,14,8,16,38,36,2,1.32,1
Ligue 1,Montpellier HSC,2010,14,1,12,11,15,32,43,-11,1.24,2
Ligue 1,Valenciennes FC,2010,12,1,10,18,10,45,41,4,1.26,2
Ligue 1,AS Monaco,2010,18,2,9,17,12,36,40,-4,1.16,0
Ligue 1,Athlétic Club Arlésien,2010,20,2,3,11,24,21,70,-49,0.53,2
Ligue 1,OGC Nice,2010,17,2,11,13,14,33,48,-15,1.21,2
Ligue 1,RC Lens,2010,19,2,7,14,17,35,58,-23,0.92,2
Ligue 1,SM Caen,2010,15,2,11,13,14,46,51,-5,1.21,2
