league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_next_3_years
Ligue 1,FC Girondins Bordeaux,2015,11,12,14,12,50,57,-7,1.32,1,0,6,15,14,9,53,43,10,1.55,0,6,16,7,15,53,48,5,1.45,1,14,10,11,17,34,42,-8,1.08,1
Ligue 1,FC Nantes,2015,14,12,12,14,33,44,-11,1.26,1,1,7,14,9,15,40,54,-14,1.34,1,9,14,10,14,36,41,-5,1.37,1,12,13,9,16,48,48,0,1.26,1
Ligue 1,Montpellier HSC,2015,12,14,7,17,49,47,2,1.29,1,2,15,10,9,19,48,66,-18,1.03,1,10,11,18,9,36,33,3,1.34,0,6,15,14,9,53,42,11,1.55,0
Ligue 1,Olympique Marseille,2015,13,10,18,10,48,42,6,1.26,1,0,5,17,11,10,57,41,16,1.63,0,4,22,11,5,80,47,33,2.03,0,5,18,7,13,60,52,8,1.61,0
Ligue 1,SC Bastia,2015,10,14,8,16,36,42,-6,1.32,1,2,20,8,10,20,29,54,-25,0.89,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,SM Caen,2015,7,16,6,16,39,52,-13,1.42,1,2,17,10,7,21,36,65,-29,0.97,2,16,10,8,20,27,52,-25,1.0,2,19,7,12,19,29,54,-25,0.87,2
Ligue 1,Stade Rennais FC,2015,8,13,13,12,52,54,-2,1.37,1,1,9,12,14,12,36,42,-6,1.32,0,5,16,10,12,50,44,6,1.53,1,10,13,13,12,55,52,3,1.37,1
Ligue 1,EA Guingamp,2015,16,11,11,16,47,56,-9,1.16,2,1,10,14,8,16,46,53,-7,1.32,1,12,12,11,15,48,59,-11,1.24,2,20,5,12,21,28,68,-40,0.71,2
Ligue 1,ESTAC Troyes,2015,20,3,9,26,28,83,-55,0.47,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,FC Lorient,2015,15,11,13,14,47,58,-11,1.21,2,2,18,10,6,22,44,70,-26,0.95,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,FC Toulouse,2015,17,9,13,16,45,55,-10,1.05,2,1,13,10,14,14,37,41,-4,1.16,2,18,9,10,19,38,54,-16,0.97,2,16,8,14,16,35,57,-22,1.0,2
Ligue 1,Stade Reims,2015,18,10,9,19,44,57,-13,1.03,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,1,8,13,16,9,39,42,-3,1.45,1
Ligue 1,AS Monaco,2016,1,30,5,3,107,31,76,2.5,0,0,2,24,8,6,85,45,40,2.11,2,17,8,12,18,38,57,-19,0.95,1,9,11,7,10,44,44,0,1.43,1
Ligue 1,FC Girondins Bordeaux,2016,6,15,14,9,53,43,10,1.55,0,0,6,16,7,15,53,48,5,1.45,1,14,10,11,17,34,42,-8,1.08,1,12,9,10,9,40,34,6,1.32,1
Ligue 1,OGC Nice,2016,3,22,12,4,63,36,27,2.05,0,1,8,15,9,14,53,52,1,1.42,1,7,15,11,12,30,35,-5,1.47,0,5,11,8,9,41,38,3,1.46,0
Ligue 1,Olympique Lyon,2016,4,21,4,13,77,48,29,1.76,0,0,3,23,9,6,87,43,44,2.05,0,3,21,9,8,70,47,23,1.89,1,7,11,7,10,42,27,15,1.43,1
Ligue 1,Olympique Marseille,2016,5,17,11,10,57,41,16,1.63,0,0,4,22,11,5,80,47,33,2.03,0,5,18,7,13,60,52,8,1.61,0,2,16,8,4,41,29,12,2.0,0
Ligue 1,Paris Saint-Germain,2016,2,27,6,5,83,27,56,2.29,0,0,1,29,6,3,108,29,79,2.45,0,1,29,4,5,105,35,70,2.39,0,1,22,2,3,75,24,51,2.52,0
Ligue 1,AS Saint-Étienne,2016,8,12,14,12,41,42,-1,1.32,1,1,7,15,10,13,47,50,-3,1.45,0,4,19,9,10,59,41,18,1.74,2,17,8,6,14,29,45,-16,1.07,2
Ligue 1,Angers SCO,2016,12,13,7,18,40,49,-9,1.21,1,1,14,9,14,15,42,52,-10,1.08,1,13,10,16,12,44,49,-5,1.21,1,11,11,6,11,28,33,-5,1.39,1
Ligue 1,EA Guingamp,2016,10,14,8,16,46,53,-7,1.32,1,1,12,12,11,15,48,59,-11,1.24,2,20,5,12,21,28,68,-40,0.71,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,FC Metz,2016,14,11,10,17,39,72,-33,1.13,1,2,20,6,8,24,34,76,-42,0.68,2,0,0,0,0,0,0,0,0.0,2,15,8,10,10,27,35,-8,1.21,2
Ligue 1,FC Nantes,2016,7,14,9,15,40,54,-14,1.34,1,1,9,14,10,14,36,41,-5,1.37,1,12,13,9,16,48,48,0,1.26,1,13,11,4,13,28,31,-3,1.32,1
Ligue 1,FC Toulouse,2016,13,10,14,14,37,41,-4,1.16,1,2,18,9,10,19,38,54,-16,0.97,2,16,8,14,16,35,57,-22,1.0,2,20,3,4,21,22,58,-36,0.46,2
Ligue 1,LOSC Lille,2016,11,13,7,18,40,47,-7,1.21,1,2,17,10,8,20,41,67,-26,1.0,0,2,22,9,7,68,33,35,1.97,0,4,15,4,9,35,27,8,1.75,0
Ligue 1,Stade Rennais FC,2016,9,12,14,12,36,42,-6,1.32,1,0,5,16,10,12,50,44,6,1.53,1,10,13,13,12,55,52,3,1.37,0,3,15,5,8,38,24,14,1.79,0
Ligue 1,AS Nancy-Lorraine,2016,19,9,8,21,29,52,-23,0.92,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,Dijon FCO,2016,16,8,13,17,46,58,-12,0.97,2,1,11,13,9,16,55,73,-18,1.26,2,18,9,7,22,31,60,-29,0.89,2,16,7,9,12,27,37,-10,1.07,2
Ligue 1,FC Lorient,2016,18,10,6,22,44,70,-26,0.95,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,Montpellier HSC,2016,15,10,9,19,48,66,-18,1.03,2,1,10,11,18,9,36,33,3,1.34,0,6,15,14,9,53,42,11,1.55,1,8,11,7,10,35,34,1,1.43,1
Ligue 1,SC Bastia,2016,20,8,10,20,29,54,-25,0.89,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,SM Caen,2016,17,10,7,21,36,65,-29,0.97,2,2,16,10,8,20,27,52,-25,1.0,2,19,7,12,19,29,54,-25,0.87,2,0,0,0,0,0,0,0,0.0,2
