league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_next_3_years
Ligue 1,Olympique Marseille,2011,10,12,12,14,45,41,4,1.26,1,0,2,21,8,9,42,36,6,1.87,0,6,16,12,10,53,40,13,1.58,0,4,21,6,11,76,42,34,1.82,0
Ligue 1,Valenciennes FC,2011,12,12,7,19,40,50,-10,1.13,1,1,11,12,12,14,49,53,-4,1.26,2,19,7,8,23,37,65,-28,0.76,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,AC Ajaccio,2011,16,9,14,15,40,61,-21,1.08,2,2,17,9,15,14,39,51,-12,1.05,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,AJ Auxerre,2011,20,7,13,18,46,57,-11,0.89,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,Dijon FCO,2011,19,9,9,20,38,63,-25,0.95,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,FC Lorient,2011,17,9,12,17,35,49,-14,1.03,2,1,8,14,11,13,57,58,-1,1.39,1,8,13,10,15,48,53,-5,1.29,2,16,12,7,19,44,50,-6,1.13,2
Ligue 1,SM Caen,2011,18,9,11,18,39,59,-20,1.0,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,1,13,12,10,16,54,55,-1,1.21,1
Ligue 1,Stade Brestois 29,2011,15,8,17,13,31,38,-7,1.08,2,2,20,8,5,25,32,62,-30,0.76,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Ligue 1,AS Saint-Étienne,2012,5,16,15,7,60,32,28,1.66,0,0,4,20,9,9,56,34,22,1.82,0,5,19,12,7,51,30,21,1.82,0,6,17,7,14,42,37,5,1.53,0
Ligue 1,LOSC Lille,2012,6,16,14,8,59,40,19,1.63,0,0,3,20,11,7,46,26,20,1.87,1,8,16,8,14,43,42,1,1.47,0,5,15,15,8,39,27,12,1.58,0
Ligue 1,OGC Nice,2012,4,18,10,10,57,46,11,1.68,0,2,0,0,0,0,0,0,0,0.0,1,11,13,9,16,44,53,-9,1.26,0,4,18,9,11,58,41,17,1.66,0
