league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_next_1_years
1 Bundesliga,SV Werder Bremen,2011,9,11,9,14,49,58,-9,1.24,1,1,14,8,10,16,50,66,-16,1.0,1
1 Bundesliga,TSG 1899 Hoffenheim,2011,11,10,11,13,41,47,-6,1.21,1,2,16,8,7,19,42,67,-25,0.91,2
1 Bundesliga,VfL Wolfsburg,2011,8,13,5,16,47,60,-13,1.29,1,1,11,10,13,11,47,52,-5,1.26,1
1 Bundesliga,1. FC Köln,2011,17,8,6,20,39,75,-36,0.88,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,1.FC Kaiserslautern,2011,18,4,11,19,24,54,-30,0.68,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,Hamburger SV,2011,15,8,12,14,35,57,-22,1.06,2,1,7,14,6,14,42,53,-11,1.41,1
1 Bundesliga,Hertha BSC,2011,16,7,10,17,38,64,-26,0.91,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,Bayer 04 Leverkusen,2012,3,19,8,7,65,39,26,1.91,0,0,4,19,4,11,60,41,19,1.79,0
1 Bundesliga,Bayern Munich,2012,1,29,4,1,98,18,80,2.68,0,0,1,29,3,2,94,23,71,2.65,0
1 Bundesliga,Borussia Dortmund,2012,2,19,9,6,81,42,39,1.94,0,0,2,22,5,7,80,38,42,2.09,0
1 Bundesliga,Eintracht Frankfurt,2012,6,14,9,11,49,46,3,1.5,0,1,13,9,9,16,40,57,-17,1.06,1
1 Bundesliga,FC Schalke 04,2012,4,16,7,11,58,50,8,1.62,0,0,3,19,7,8,63,43,20,1.88,0
1 Bundesliga,SC Freiburg,2012,5,14,9,11,45,40,5,1.5,0,1,14,9,9,16,43,61,-18,1.06,1
1 Bundesliga,1.FC Nuremberg,2012,10,11,11,12,39,47,-8,1.29,1,2,17,5,11,18,37,70,-33,0.76,2
1 Bundesliga,1.FSV Mainz 05,2012,13,10,12,12,42,44,-2,1.24,1,1,7,16,5,13,52,54,-2,1.56,1
1 Bundesliga,Borussia Mönchengladbach,2012,8,12,11,11,45,49,-4,1.38,1,0,6,16,7,11,59,43,16,1.62,0
1 Bundesliga,Hamburger SV,2012,7,14,6,14,42,53,-11,1.41,1,2,16,7,6,21,51,75,-24,0.79,2
1 Bundesliga,Hannover 96,2012,9,13,6,15,60,62,-2,1.32,1,1,10,12,6,16,46,59,-13,1.24,1
1 Bundesliga,SV Werder Bremen,2012,14,8,10,16,50,66,-16,1.0,1,1,12,10,9,15,42,66,-24,1.15,1
1 Bundesliga,VfB Stuttgart,2012,12,12,7,15,37,55,-18,1.26,1,2,15,8,8,18,49,62,-13,0.94,2
1 Bundesliga,VfL Wolfsburg,2012,11,10,13,11,47,52,-5,1.26,1,0,5,18,6,10,63,50,13,1.76,0
1 Bundesliga,FC Augsburg,2012,15,8,9,17,33,51,-18,0.97,2,1,8,15,7,12,47,47,0,1.53,1
