league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,total_fee_in_2_years_future,mean_fee_in_2_years_future,mean_age_in_2_years_future,total_fee_in_GK_2_years_future,mean_fee_in_GK_2_years_future,mean_age_in_GK_2_years_future,count_GK_in_2_years_future,total_fee_in_DEF_2_years_future,mean_fee_in_DEF_2_years_future,mean_age_in_DEF_2_years_future,count_DEF_in_2_years_future,total_fee_in_MID_2_years_future,mean_fee_in_MID_2_years_future,mean_age_in_MID_2_years_future,count_MID_in_2_years_future,total_fee_in_STK_2_years_future,mean_fee_in_STK_2_years_future,mean_age_in_STK_2_years_future,count_STK_in_2_years_future,total_fee_out_2_years_future,mean_fee_out_2_years_future,mean_age_out_2_years_future,total_fee_out_GK_2_years_future,mean_fee_out_GK_2_years_future,mean_age_out_GK_2_years_future,count_GK_out_2_years_future,total_fee_out_DEF_2_years_future,mean_fee_out_DEF_2_years_future,mean_age_out_DEF_2_years_future,count_DEF_out_2_years_future,total_fee_out_MID_2_years_future,mean_fee_out_MID_2_years_future,mean_age_out_MID_2_years_future,count_MID_out_2_years_future,total_fee_out_STK_2_years_future,mean_fee_out_STK_2_years_future,mean_age_out_STK_2_years_future,count_STK_out_2_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
1 Bundesliga,Hamburger SV,2009,30.45,5.075,25.0,0.0,0.0,0.0,0,6.0,6.0,29.0,1,5.45,1.817,25.667,3,19.0,9.5,22.0,2,8.5,1.7,23.2,0.0,0.0,0.0,0,1.0,1.0,24.0,1,7.25,3.625,25.5,2,0.25,0.125,20.5,2,7,13,13,8,56,41,15,1.53,1,15.2,5.067,23.0,0.0,0.0,0.0,0.0,9.7,4.85,23.0,2.0,5.5,5.5,23.0,1.0,0.0,0.0,0.0,0.0,15.55,3.888,21.25,0.0,0.0,0.0,0.0,12.5,12.5,21.0,1.0,0.0,0.0,0.0,0.0,3.05,1.017,21.333,3.0,1,8,12,9,13,46,52,-6,1.32,13.9,1.986,21.429,0.0,0.0,0.0,0.0,5.0,1.667,21.333,3.0,0.6,0.3,21.5,2.0,8.3,4.15,21.5,2.0,17.35,2.892,26.5,0.0,0.0,0.0,0.0,4.25,1.417,29.0,3.0,0.6,0.6,23.0,1.0,12.5,6.25,24.5,2.0,2,15,8,12,14,35,57,-22,1.06,1
1 Bundesliga,SC Freiburg,2009,3.15,0.788,23.75,0.0,0.0,0.0,0,0.75,0.375,23.0,2,0.9,0.9,25.0,1,1.5,1.5,24.0,1,0.445,0.111,22.0,0.0,0.0,0.0,0,0.405,0.135,22.333,3,0.04,0.04,21.0,1,0.0,0.0,0.0,0,14,9,8,17,35,59,-24,1.03,1,1.45,0.483,23.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,23.0,1.0,1.25,0.625,24.0,2.0,0.21,0.105,21.5,0.01,0.01,20.0,1.0,0.2,0.2,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,13,5,16,41,50,-9,1.29,3.5,0.7,24.0,0.0,0.0,0.0,0.0,0.7,0.35,23.0,2.0,0.0,0.0,0.0,0.0,2.8,0.933,24.667,3.0,15.3,3.825,23.0,0.0,0.0,0.0,0.0,3.1,1.55,22.0,2.0,0.2,0.2,22.0,1.0,12.0,12.0,26.0,1.0,1,12,10,10,14,45,61,-16,1.18,0
1 Bundesliga,TSG 1899 Hoffenheim,2009,16.25,4.062,23.0,0.0,0.0,0.0,0,7.15,3.575,25.5,2,4.6,4.6,18.0,1,4.5,4.5,23.0,1,0.225,0.112,23.0,0.2,0.2,25.0,1,0.0,0.0,0.0,0,0.025,0.025,21.0,1,0.0,0.0,0.0,0,11,11,9,14,44,42,2,1.24,1,22.45,3.207,20.143,0.0,0.0,0.0,0.0,0.25,0.25,21.0,1.0,9.2,4.6,20.0,2.0,13.0,3.25,20.0,4.0,45.4,5.675,23.875,0.0,0.0,0.0,0.0,0.5,0.25,27.5,2.0,37.7,12.567,21.667,3.0,7.2,2.4,23.667,3.0,1,11,11,10,13,50,50,0,1.26,5.9,0.738,21.0,1.2,1.2,19.0,1.0,0.1,0.1,20.0,1.0,2.7,0.9,20.333,3.0,1.9,0.633,22.667,3.0,7.5,1.25,23.333,0.0,0.0,0.0,0.0,0.1,0.1,22.0,1.0,0.9,0.45,21.0,2.0,6.5,2.167,25.333,3.0,1,11,10,11,13,41,47,-6,1.21,2
1 Bundesliga,VfL Wolfsburg,2009,27.3,5.46,24.2,0.0,0.0,0.0,0,5.0,5.0,24.0,1,10.7,5.35,26.0,2,11.6,5.8,22.5,2,3.4,1.133,26.667,0.0,0.0,0.0,0,2.5,1.25,27.5,2,0.9,0.9,25.0,1,0.0,0.0,0.0,0,8,14,8,12,64,58,6,1.47,1,56.15,4.679,24.417,0.0,0.0,0.0,0.0,15.0,7.5,26.0,2.0,22.05,4.41,23.8,5.0,19.1,3.82,24.4,5.0,59.65,5.965,25.1,0.0,0.0,0.0,0.0,4.15,1.383,25.667,3.0,9.25,3.083,26.0,3.0,46.25,11.562,24.0,4.0,2,15,9,11,14,43,48,-5,1.12,48.8,3.486,23.143,0.0,0.0,0.0,0.0,21.0,4.2,24.0,5.0,13.6,2.72,23.2,5.0,9.2,4.6,21.5,2.0,12.125,1.347,25.222,0.0,0.0,0.0,0.0,5.95,1.983,24.667,3.0,0.475,0.238,20.5,2.0,5.7,1.425,28.0,4.0,1,8,13,5,16,47,60,-13,1.29,1
1 Bundesliga,1.FC Nuremberg,2009,0.45,0.15,22.0,0.0,0.0,0.0,0,0.15,0.15,19.0,1,0.25,0.25,27.0,1,0.05,0.05,20.0,1,2.35,0.47,25.0,0.0,0.0,0.0,0,0.55,0.275,22.5,2,1.6,0.8,25.5,2,0.2,0.2,29.0,1,16,8,7,19,32,58,-26,0.91,2,1.15,0.383,22.333,0.0,0.0,0.0,0.0,0.4,0.4,27.0,1.0,0.0,0.0,0.0,0.0,0.75,0.375,20.0,2.0,2.75,0.917,22.333,0.0,0.0,0.0,0.0,2.75,0.917,22.333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,13,8,13,47,45,2,1.38,4.15,0.593,22.429,0.1,0.1,18.0,1.0,1.4,0.7,23.0,2.0,0.45,0.225,25.0,2.0,2.2,1.1,21.5,2.0,5.5,5.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,20.0,1.0,0.0,0.0,0.0,0.0,1,10,12,6,16,38,49,-11,1.24,1
1 Bundesliga,Hannover 96,2009,2.05,0.41,25.8,0.0,0.0,0.0,0,0.7,0.35,25.0,2,0.3,0.3,28.0,1,1.05,0.525,25.5,2,0.8,0.267,24.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8,0.267,24.333,3,0.0,0.0,0.0,0,15,9,6,19,43,67,-24,0.97,2,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,1.0,0.55,0.55,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,24.0,1.0,0,4,19,3,12,49,45,4,1.76,4.2,0.84,21.8,0.25,0.25,18.0,1.0,0.0,0.0,0.0,0.0,0.45,0.45,25.0,1.0,3.5,1.167,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,12,12,10,41,45,-4,1.41,1
1 Bundesliga,Hertha BSC,2009,4.51,0.644,25.714,0.0,0.0,0.0,0,1.01,0.337,23.0,3,0.2,0.2,27.0,1,3.3,1.1,28.0,3,8.55,1.425,25.0,0.0,0.0,0.0,0,7.45,2.483,28.0,3,0.0,0.0,0.0,0,1.1,0.367,22.0,3,18,5,9,20,34,56,-22,0.71,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,1.4,0.467,24.333,0.0,0.0,0.0,0.0,0.1,0.1,23.0,1.0,1.3,0.65,25.0,2.0,0.0,0.0,0.0,0.0,1.0,0.25,26.5,0.0,0.0,0.0,0.0,0.25,0.25,30.0,1.0,0.0,0.0,0.0,0.0,0.75,0.25,25.333,3.0,2,16,7,10,17,38,64,-26,0.91,2
1 Bundesliga,VfL Bochum,2009,2.1,0.525,24.25,0.0,0.0,0.0,0,0.4,0.4,27.0,1,0.9,0.45,23.0,2,0.8,0.8,24.0,1,0.25,0.25,30.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.25,0.25,30.0,1,0.0,0.0,0.0,0,17,6,10,18,33,64,-31,0.82,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,1.FC Nuremberg,2010,1.15,0.383,22.333,0.0,0.0,0.0,0,0.4,0.4,27.0,1,0.0,0.0,0.0,0,0.75,0.375,20.0,2,2.75,0.917,22.333,0.0,0.0,0.0,0,2.75,0.917,22.333,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6,13,8,13,47,45,2,1.38,0,4.15,0.593,22.429,0.1,0.1,18.0,1.0,1.4,0.7,23.0,2.0,0.45,0.225,25.0,2.0,2.2,1.1,21.5,2.0,5.5,5.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,20.0,1.0,0.0,0.0,0.0,0.0,1,10,12,6,16,38,49,-11,1.24,2.7,0.675,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.833,22.0,3.0,0.2,0.2,21.0,1.0,7.0,7.0,23.0,0.0,0.0,0.0,0.0,7.0,7.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,11,11,12,39,47,-8,1.29,2
1 Bundesliga,1.FSV Mainz 05,2010,3.8,0.475,22.125,0.0,0.0,0.0,0,0.4,0.4,24.0,1,1.45,0.483,21.0,3,1.95,0.488,22.5,4,5.12,2.56,23.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.12,0.12,22.0,1,5.0,5.0,25.0,1,5,18,4,12,52,39,13,1.71,0,10.9,0.991,23.909,0.0,0.0,0.0,0.0,3.2,1.067,25.333,3.0,4.8,0.96,23.2,5.0,2.9,0.967,23.667,3.0,17.95,4.488,21.0,0.0,0.0,0.0,0.0,3.9,1.95,22.0,2.0,0.0,0.0,0.0,0.0,14.05,7.025,20.0,2.0,1,13,9,12,13,47,51,-4,1.15,4.18,1.045,26.25,0.0,0.0,0.0,0.0,0.08,0.08,28.0,1.0,2.0,2.0,27.0,1.0,2.1,1.05,25.0,2.0,5.95,0.744,24.25,0.0,0.0,0.0,0.0,0.25,0.125,26.5,2.0,3.9,1.95,24.5,2.0,1.8,0.45,23.0,4.0,1,13,10,12,12,42,44,-2,1.24,1
