league,duration,fried_stat,fried_p,data_1_mean,data_1_std,data_2_mean,data_2_std,data_3_mean,data_3_std,p_data_1_vs_data_2,p_data_1_vs_data_3,p_data_2_vs_data_3
all_leagues,1year,7.6000000000000085,0.0223707718561655,0.5744282171397079,0.05601918710484981,0.6583981001727116,0.023201327542822264,0.6666740148801322,0.022857612086291026,0.06888689651544055,0.03066274979424022,0.9463703911658415
all_leagues,3year,7.6000000000000085,0.0223707718561655,0.5674922600619194,0.016735806397859102,0.702991202346041,0.012211338415007702,0.7117045063639491,0.034495100196011076,0.03066274979424022,0.06888689651544055,0.9463703911658415
all_leagues,5year,7.6000000000000085,0.0223707718561655,0.5941266209000763,0.025573952280001526,0.7150374812593704,0.039857388636465194,0.7072768878718536,0.039561769526558294,0.06888689651544055,0.03066274979424022,0.9463703911658415
bundesliga,1year,4.799999999999997,0.09071795328941264,0.5555555555555556,0.06211299937499413,0.5666666666666667,0.09541980020732035,0.6444444444444445,0.08193267335418125,1.0,0.13940464288897048,0.13940464288897048
bundesliga,3year,7.444444444444447,0.02418017437647035,0.5633004926108375,0.08953633926197797,0.6669950738916256,0.09180289011043602,0.6118226600985222,0.08627020898173338,0.03066274979424022,0.7088375079758973,0.19061177159540377
bundesliga,5year,0.7777777777777809,0.6778095780054493,0.6575757575757576,0.08375252972457285,0.6489177489177489,0.09746751083692884,0.6493506493506493,0.0893889603762091,0.8022411255720053,0.7088375079758975,0.9863120493298859
la_liga,1year,4.105263157894743,0.1283965728929484,0.5587301587301587,0.04449048069261577,0.6333333333333334,0.06413670298528745,0.6533333333333333,0.10632758605157717,0.3289712590583226,0.13940464288897036,0.8833885151379529
la_liga,3year,6.0000000000000036,0.04978706836786384,0.5945812807881773,0.10139888841868454,0.7080459770114942,0.07205714031566658,0.6431034482758621,0.0639232557838539,0.046559778493208026,0.6094107155483864,0.3289712590583227
la_liga,5year,0.4000000000000057,0.8187307530779795,0.670995670995671,0.12367056955852213,0.6407114624505929,0.10492377583061405,0.6523809523809524,0.12449745308355166,0.802241125572005,0.9463703911658415,0.9463703911658418
ligue_1_fr,1year,5.33333333333333,0.06948345122280168,0.5692307692307692,0.033431807206167466,0.61,0.03354101966249687,0.5743589743589743,0.06686361441233488,0.13940464288897048,1.0,0.13940464288897048
ligue_1_fr,3year,2.8000000000000043,0.24659696394160596,0.5965725806451613,0.05843470980139598,0.66875,0.06846531968814579,0.6856854838709677,0.07088206200697068,0.41511350035253536,0.2537844874823233,0.9463703911658419
ligue_1_fr,5year,3.6000000000000014,0.16529888822158642,0.5981884057971014,0.11744943989000879,0.725,0.06972166887783961,0.6231884057971014,0.10504122474147985,0.13940464288897025,0.6094107155483861,0.6094107155483861
premier_league,1year,4.352941176470591,0.11344120564253217,0.6599999999999999,0.1318142632646407,0.75,0.06373774391990979,0.745,0.06937218462755806,0.2537844874823234,0.19061177159540377,0.9863120493298858
premier_league,3year,3.1111111111111156,0.2110720877910897,0.69375,0.09732757188998398,0.775,0.0808886194096549,0.76875,0.07843687748756957,0.2537844874823233,0.41511350035253536,0.9463703911658419
premier_league,5year,7.41176470588235,0.024578520866883703,0.65,0.06319062870042956,0.8,0.045643546458763846,0.7833333333333334,0.06846531968814575,0.046559778493207804,0.13940464288897048,0.8833885151379526
serie_a_it,1year,8.315789473684218,0.01564045054832703,0.575,0.03535533905932736,0.655,0.04107919181288744,0.67,0.020916500663351857,0.09929240181999455,0.019679264598790436,0.8022411255720049
serie_a_it,3year,5.1578947368421115,0.07585380812713433,0.58125,0.07194290270763337,0.675,0.0784368774875696,0.675,0.07194290270763339,0.19061177159540377,0.09929240181999432,0.9463703911658415
serie_a_it,5year,7.6000000000000085,0.0223707718561655,0.5166666666666666,0.03726779962499649,0.7083333333333333,0.05103103630798287,0.7,0.07453559924999296,0.06888689651544055,0.03066274979424022,0.9463703911658415
