dataset,league,mean_1y,std_1y,mean_3y,std_3y,mean_5y,std_5y,fried_stat,fried_p,p_1v3,p_1v5,p_3v5
data_1,all_leagues,0.5744282171397079,0.05601918710484981,0.5674922600619194,0.016735806397859102,0.5941266209000763,0.025573952280001526,3.6000000000000014,0.16529888822158642,0.6094107155483861,0.6094107155483861,0.13940464288897025
data_1,bundesliga,0.5555555555555556,0.06211299937499413,0.5633004926108375,0.08953633926197797,0.6575757575757576,0.08375252972457285,3.6000000000000014,0.16529888822158642,0.6094107155483861,0.13940464288897025,0.6094107155483861
data_1,la_liga,0.5587301587301587,0.04449048069261577,0.5945812807881773,0.10139888841868454,0.670995670995671,0.12367056955852213,2.2105263157894752,0.33112373295101094,0.6094107155483861,0.3289712590583227,0.8833885151379529
data_1,ligue_1_fr,0.5692307692307692,0.033431807206167466,0.5965725806451613,0.05843470980139598,0.5981884057971014,0.11744943989000879,1.2000000000000028,0.5488116360940257,0.6094107155483864,1.0,0.6094107155483864
data_1,premier_league,0.6599999999999999,0.1318142632646407,0.69375,0.09732757188998398,0.65,0.06319062870042956,0.10526315789473835,0.9487294800164364,0.9863120493298858,0.9863120493298858,0.9463703911658415
data_1,serie_a_it,0.575,0.03535533905932736,0.58125,0.07194290270763337,0.5166666666666666,0.03726779962499649,4.526315789473681,0.10402147666803775,0.41511350035253536,0.09929240181999432,0.7088375079758973
data_2,all_leagues,0.6583981001727116,0.023201327542822264,0.702991202346041,0.012211338415007702,0.7150374812593704,0.039857388636465194,5.200000000000003,0.0742735782143338,0.2537844874823233,0.06888689651544055,0.8022411255720053
data_2,bundesliga,0.5666666666666667,0.09541980020732035,0.6669950738916256,0.09180289011043602,0.6489177489177489,0.09746751083692884,0.736842105263161,0.6918258252705161,0.9863120493298859,0.8022411255720053,0.7088375079758975
data_2,la_liga,0.6333333333333334,0.06413670298528745,0.7080459770114942,0.07205714031566658,0.6407114624505929,0.10492377583061405,5.200000000000003,0.0742735782143338,0.06888689651544055,0.802241125572005,0.2537844874823234
data_2,ligue_1_fr,0.61,0.03354101966249687,0.66875,0.06846531968814579,0.725,0.06972166887783961,8.444444444444454,0.014666017116527033,0.9463703911658415,0.03066274979424022,0.06888689651544055
data_2,premier_league,0.75,0.06373774391990979,0.775,0.0808886194096549,0.8,0.045643546458763846,1.6000000000000014,0.44932896411722134,0.8022411255720053,0.415113500352536,0.8022411255720053
data_2,serie_a_it,0.655,0.04107919181288744,0.675,0.0784368774875696,0.7083333333333333,0.05103103630798287,1.6000000000000014,0.44932896411722134,0.8022411255720053,0.415113500352536,0.8022411255720053
data_3,all_leagues,0.6666740148801322,0.022857612086291026,0.7117045063639491,0.034495100196011076,0.7072768878718536,0.039561769526558294,4.799999999999997,0.09071795328941264,0.13940464288897036,0.13940464288897036,1.0
data_3,bundesliga,0.6444444444444445,0.08193267335418125,0.6118226600985222,0.08627020898173338,0.6493506493506493,0.0893889603762091,1.3684210526315834,0.50448835267872,0.7088375079758973,0.5098410709346721,0.9463703911658419
data_3,la_liga,0.6533333333333333,0.10632758605157717,0.6431034482758621,0.0639232557838539,0.6523809523809524,0.12449745308355166,0.4000000000000057,0.8187307530779795,0.802241125572005,0.9463703911658415,0.9463703911658418
data_3,ligue_1_fr,0.5743589743589743,0.06686361441233488,0.6856854838709677,0.07088206200697068,0.6231884057971014,0.10504122474147985,2.8000000000000043,0.24659696394160596,0.2537844874823233,0.41511350035253536,0.9463703911658419
data_3,premier_league,0.745,0.06937218462755806,0.76875,0.07843687748756957,0.7833333333333334,0.06846531968814575,0.0,1.0,1.0,1.0,1.0
data_3,serie_a_it,0.67,0.020916500663351857,0.675,0.07194290270763339,0.7,0.07453559924999296,1.2000000000000028,0.5488116360940257,0.6094107155483861,0.6094107155483861,1.0
