league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,PF
Premier League,Manchester United,2018,82.7,27.567,26.333,1.7,1.7,35.0,1,22.0,22.0,19.0,1,59.0,59.0,25.0,1,0.0,0.0,0.0,0,30.55,10.183,28.0,7.35,7.35,25.0,1,16.0,16.0,28.0,1,7.2,7.2,31.0,1,0.0,0.0,0.0,0,234.8,46.96,24.6,0.0,0.0,0.0,0.0,142.0,71.0,23.5,2.0,63.0,63.0,25.0,1.0,29.8,14.9,25.5,2.0,81.18,20.295,29.5,0.0,0.0,0.0,0.0,7.18,2.393,30.667,3.0,0.0,0.0,0.0,0.0,74.0,74.0,26.0,1.0,0
Premier League,Tottenham Hotspur,2018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.35,5.35,31.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.35,5.35,31.0,1,0.0,0.0,0.0,0,148.5,24.75,20.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.5,26.875,21.25,4.0,41.0,20.5,20.0,2.0,64.5,12.9,26.6,0.0,0.0,0.0,0.0,24.0,12.0,28.5,2.0,27.0,27.0,27.0,1.0,13.5,6.75,24.5,2.0,0
Premier League,AFC Bournemouth,2018,89.1,17.82,22.0,0.0,0.0,0.0,0,28.6,14.3,23.0,2,28.0,28.0,23.0,1,32.5,16.25,20.5,2,20.2,6.733,28.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,20.2,6.733,28.333,3,54.91,10.982,22.0,0.0,0.0,0.0,0.0,19.25,9.625,21.5,2.0,16.5,16.5,23.0,1.0,19.16,9.58,22.0,2.0,34.625,8.656,25.75,0.125,0.125,32.0,1.0,22.3,22.3,26.0,1.0,0.0,0.0,0.0,0.0,12.2,6.1,22.5,2.0,1
Premier League,Crystal Palace,2018,11.85,5.925,26.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.7,10.7,28.0,1,1.15,1.15,25.0,1,0.35,0.35,23.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.35,0.35,23.0,1,7.6,2.533,26.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.4,26.5,2.0,2.8,2.8,27.0,1.0,55.375,27.688,22.0,0.0,0.0,0.0,0.0,55.0,55.0,21.0,1.0,0.0,0.0,0.0,0.0,0.375,0.375,23.0,1.0,1
Premier League,Everton FC,2018,99.8,19.96,23.4,0.0,0.0,0.0,0,58.35,19.45,23.667,3,2.25,2.25,25.0,1,39.2,39.2,21.0,1,28.65,5.73,25.4,0.0,0.0,0.0,0,13.6,6.8,25.5,2,13.5,13.5,25.0,1,1.55,0.775,25.5,2,121.0,17.286,23.286,0.0,0.0,0.0,0.0,3.6,1.8,22.0,2.0,59.5,19.833,25.667,3.0,57.9,28.95,21.0,2.0,87.8,17.56,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,18.767,26.0,3.0,31.5,15.75,21.5,2.0,1
Premier League,Leicester City,2018,114.6,16.371,24.143,14.0,14.0,25.0,1,61.6,15.4,24.25,4,25.0,25.0,21.0,1,14.0,14.0,26.0,1,95.8,23.95,28.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.0,10.0,30.0,1,85.8,28.6,27.333,3,104.3,26.075,23.25,0.0,0.0,0.0,0.0,6.7,6.7,21.0,1.0,64.2,32.1,23.5,2.0,33.4,33.4,25.0,1.0,88.5,44.25,25.0,0.0,0.0,0.0,0.0,88.5,44.25,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Premier League,Newcastle United,2018,59.75,7.469,25.875,4.0,4.0,29.0,1,11.85,3.95,26.0,3,31.0,15.5,23.0,2,12.9,6.45,27.0,2,51.05,5.672,23.889,4.0,4.0,26.0,1,4.66,4.66,23.0,1,12.9,6.45,24.5,2,29.49,5.898,23.4,5,72.9,10.414,24.429,0.0,0.0,0.0,0.0,9.9,2.475,25.5,4.0,45.0,22.5,23.5,2.0,18.0,18.0,22.0,1.0,35.64,17.82,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.64,17.82,27.0,2.0,1
Premier League,Watford FC,2018,30.1,3.762,22.875,2.8,2.8,35.0,1,8.7,2.9,21.333,3,3.35,1.675,21.0,2,15.25,7.625,21.0,2,51.84,6.48,25.5,0.0,0.0,0.0,0,1.04,0.347,24.0,3,0.0,0.0,0.0,0,50.8,10.16,26.4,5,48.5,12.125,23.0,0.0,0.0,0.0,0.0,6.0,6.0,29.0,1.0,0.0,0.0,0.0,0.0,42.5,14.167,21.0,3.0,25.4,8.467,24.333,0.0,0.0,0.0,0.0,2.0,2.0,29.0,1.0,0.0,0.0,0.0,0.0,23.4,11.7,22.0,2.0,1
Premier League,West Ham United,2018,100.9,14.414,26.143,8.0,8.0,33.0,1,29.0,14.5,23.5,2,0.0,0.0,0.0,0,63.9,15.975,25.75,4,13.765,3.441,22.75,0.0,0.0,0.0,0,2.2,1.1,20.5,2,11.565,5.782,25.0,2,0.0,0.0,0.0,0,119.8,19.967,24.833,4.7,4.7,32.0,1.0,0.0,0.0,0.0,0.0,32.5,16.25,23.5,2.0,82.6,27.533,23.333,3.0,55.48,6.935,25.875,0.0,0.0,0.0,0.0,2.83,1.415,22.5,2.0,15.0,7.5,25.0,2.0,37.65,9.412,28.0,4.0,1
Premier League,Wolverhampton Wanderers,2018,112.75,10.25,24.818,18.0,18.0,30.0,1,35.25,11.75,23.333,3,7.1,3.55,27.0,2,52.4,10.48,23.8,5,23.3,3.329,26.429,0.0,0.0,0.0,0,7.35,2.45,27.667,3,2.45,0.817,25.667,3,13.5,13.5,25.0,1,116.7,16.671,22.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,11.35,22.0,2.0,94.0,18.8,22.4,5.0,24.1,6.025,24.0,0.0,0.0,0.0,0.0,3.4,3.4,23.0,1.0,0.0,0.0,0.0,0.0,20.7,6.9,24.333,3.0,1
